cliente,cnae_subclasse,sum_carteira_ativa,ano,cnae_subclasse_bcb,codigo_cnae_ibge,atividade_tru68_ibge
PJ,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",3955013399.09,2012,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",7020,6980
PJ,Atividades de contabilidade,1044832351.13,2012,Atividades de contabilidade,6920,6980
PJ,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",676288294.08,2012,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",7490,7380
PJ,"Atividades de produção de fotografias, exceto aérea e submarina",124699012.64,2012,"Atividades de produção de fotografias, exceto aérea e submarina",7420,7380
PJ,Marketing direto,62056986.38,2012,Marketing direto,7319,7380
PJ,Outras atividades de publicidade não especificadas anteriormente,237143947.57,2012,Outras atividades de publicidade não especificadas anteriormente,7319,7380
PJ,"Outras atividades profissionais, científicas e técnicas não especificadas anteriormente",281870872.72,2012,"Outras atividades profissionais, científicas e técnicas não especificadas anteriormente",7490,7380
PJ,Serviços advocatícios,773081572.27,2012,Serviços advocatícios,6911,6980
PJ,Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias,103051659.7,2012,Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias,7490,7380
PJ,"Serviços de cartografia, topografia e geodésia",136857298.45,2012,"Serviços de cartografia, topografia e geodésia",7119,7180
PJ,Serviços de engenharia,4456705827.95,2012,Serviços de engenharia,7112,7180
PJ,Comercio varejista de artigos de armarinho,812125950.47,2012,Comercio varejista de artigos de armarinho,4755,4580
PJ,"Comercio varejista de artigos de cama, mesa e banho",1243292982.7,2012,"Comercio varejista de artigos de cama, mesa e banho",4755,4580
PJ,"Comércio a varejo de automóveis, camionetas e utilitários novos",17721181273.97,2012,"Comércio a varejo de automóveis, camionetas e utilitários novos",4511,4500
PJ,"Comércio a varejo de automóveis, camionetas e utilitários usados",2962795510.61,2012,"Comércio a varejo de automóveis, camionetas e utilitários usados",4511,4500
PJ,Comércio a varejo de motocicletas e motonetas novas,1252361762.13,2012,Comércio a varejo de motocicletas e motonetas novas,4541,4500
PJ,Comércio a varejo de peças e acessórios novos para veículos automotores,6248666976.09,2012,Comércio a varejo de peças e acessórios novos para veículos automotores,4530,4500
PJ,Comércio a varejo de peças e acessórios usados para veículos automotores,216385961.64,2012,Comércio a varejo de peças e acessórios usados para veículos automotores,4530,4500
PJ,Comércio a varejo de pneumáticos e câmaras-de-ar,1303310097.33,2012,Comércio a varejo de pneumáticos e câmaras-de-ar,4530,4500
PJ,Comércio atacadista de alimentos para animais,390599767.63,2012,Comércio atacadista de alimentos para animais,4623,4580
PJ,Comércio atacadista de artigos de armarinho,281917520.87,2012,Comércio atacadista de artigos de armarinho,4641,4580
PJ,Comércio atacadista de carnes bovinas e suínas e derivados,845363170.88,2012,Comércio atacadista de carnes bovinas e suínas e derivados,4634,4580
PJ,"Comércio atacadista de cerveja, chope e refrigerante",1214370341.79,2012,"Comércio atacadista de cerveja, chope e refrigerante",4635,4580
PJ,Comércio atacadista de cimento,98682394.82,2012,Comércio atacadista de cimento,4674,4580
PJ,"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo",6577888130.73,2012,"Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo",4683,4580
PJ,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios",1250629405.06,2012,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios",4645,4580
PJ,Comércio atacadista de lubrificantes,378189226.39,2012,Comércio atacadista de lubrificantes,4681,4580
PJ,Comércio atacadista de materiais de construção em geral,1139671558.03,2012,Comércio atacadista de materiais de construção em geral,4679,4580
PJ,Comércio atacadista de medicamentos e drogas de uso humano,3638256461.69,2012,Comércio atacadista de medicamentos e drogas de uso humano,4644,4580
PJ,"Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios",1744713747.79,2012,"Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios",4691,4580
PJ,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",3719674699.91,2012,"Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários",4693,4580
PJ,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças",2386815437.31,2012,"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças",4661,4580
PJ,Comércio atacadista de produtos alimentícios em geral,5955269874.5,2012,Comércio atacadista de produtos alimentícios em geral,4639,4580
PJ,"Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar",743558791.26,2012,"Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar",4649,4580
PJ,"Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador retalhista (TRR)",4400916442.94,2012,"Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador retalhista (TRR)",4681,4580
PJ,Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente,397132872.55,2012,Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente,4637,4580
PJ,Comércio por atacado de peças e acessórios novos para veículos automotores,2269496672.48,2012,Comércio por atacado de peças e acessórios novos para veículos automotores,4530,4500
PJ,Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação,757351911.3,2012,Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação,4789,4580
PJ,"Comércio varejista de artigos de caça, pesca e camping",112365399.89,2012,"Comércio varejista de artigos de caça, pesca e camping",4763,4580
PJ,Comércio varejista de artigos de colchoaria,360146514.86,2012,Comércio varejista de artigos de colchoaria,4754,4580
PJ,Comércio varejista de artigos de joalheria,632411271.02,2012,Comércio varejista de artigos de joalheria,4783,4580
PJ,Comércio varejista de artigos de papelaria,1169812810.88,2012,Comércio varejista de artigos de papelaria,4761,4580
PJ,Comércio varejista de artigos de relojoaria,79736124.33,2012,Comércio varejista de artigos de relojoaria,4783,4580
PJ,Comércio varejista de artigos de viagem,332678506.34,2012,Comércio varejista de artigos de viagem,4782,4580
PJ,Comércio varejista de artigos de óptica,1086754765.96,2012,Comércio varejista de artigos de óptica,4774,4580
PJ,Comércio varejista de artigos do vestuário e acessórios,11380069072.6,2012,Comércio varejista de artigos do vestuário e acessórios,4781,4580
PJ,Comércio varejista de artigos esportivos,937487134.23,2012,Comércio varejista de artigos esportivos,4763,4580
PJ,Comércio varejista de artigos fotográficos e para filmagem,229619431.17,2012,Comércio varejista de artigos fotográficos e para filmagem,4789,4580
PJ,Comércio varejista de artigos médicos e ortopédicos,491928644.91,2012,Comércio varejista de artigos médicos e ortopédicos,4773,4580
PJ,Comércio varejista de bebidas,997910335.92,2012,Comércio varejista de bebidas,4723,4580
PJ,Comércio varejista de bicicletas e triciclos; peças e acessórios,294047921.29,2012,Comércio varejista de bicicletas e triciclos; peças e acessórios,4763,4580
PJ,Comércio varejista de brinquedos e artigos recreativos,550384947.24,2012,Comércio varejista de brinquedos e artigos recreativos,4763,4580
PJ,"Comércio varejista de cal, areia, pedra britada, tijolos e telhas",271367879.16,2012,"Comércio varejista de cal, areia, pedra britada, tijolos e telhas",4744,4580
PJ,Comércio varejista de calçados,2958631863.89,2012,Comércio varejista de calçados,4782,4580
PJ,Comércio varejista de carnes - açougues,1045221651.1,2012,Comércio varejista de carnes - açougues,4722,4580
PJ,Comércio varejista de combustíveis para veículos automotores,8209585652.2,2012,Comércio varejista de combustíveis para veículos automotores,4731,4580
PJ,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",1603581402.28,2012,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",4772,4580
PJ,"Comércio varejista de doces, balas, bombons e semelhantes",431690984.0,2012,"Comércio varejista de doces, balas, bombons e semelhantes",4721,4580
PJ,Comércio varejista de equipamentos para escritório,241900189.3,2012,Comércio varejista de equipamentos para escritório,4789,4580
PJ,Comércio varejista de ferragens e ferramentas,2709678285.18,2012,Comércio varejista de ferragens e ferramentas,4744,4580
PJ,Comércio varejista de gás liquefeito de petróleo (GLP),1363079338.71,2012,Comércio varejista de gás liquefeito de petróleo (GLP),4784,4580
PJ,Comércio varejista de hortifrutigranjeiros,732198116.92,2012,Comércio varejista de hortifrutigranjeiros,4724,4580
PJ,Comércio varejista de laticínios e frios,256413943.87,2012,Comércio varejista de laticínios e frios,4721,4580
PJ,Comércio varejista de livros,836321082.68,2012,Comércio varejista de livros,4761,4580
PJ,Comércio varejista de madeira e artefatos,1535727007.9,2012,Comércio varejista de madeira e artefatos,4744,4580
PJ,Comércio varejista de materiais de construção em geral,6929529111.13,2012,Comércio varejista de materiais de construção em geral,4744,4580
PJ,Comércio varejista de materiais de construção não especificados anteriormente,4774210519.99,2012,Comércio varejista de materiais de construção não especificados anteriormente,4744,4580
PJ,Comércio varejista de material elétrico,1248114967.7,2012,Comércio varejista de material elétrico,4742,4580
PJ,Comércio varejista de medicamentos veterinários,747446732.89,2012,Comércio varejista de medicamentos veterinários,4771,4580
PJ,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",2125012529.84,2012,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",4711,4580
PJ,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",5708117479.99,2012,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",4712,4580
PJ,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",13995852537.36,2012,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",4711,4580
PJ,Comércio varejista de mercadorias em lojas de conveniência,36031694.2,2012,Comércio varejista de mercadorias em lojas de conveniência,4729,4580
PJ,Comércio varejista de móveis,5010261745.06,2012,Comércio varejista de móveis,4754,4580
PJ,Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente,921389948.93,2012,Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente,4759,4580
PJ,Comércio varejista de outros artigos usados,85998917.89,2012,Comércio varejista de outros artigos usados,4785,4580
PJ,Comércio varejista de outros produtos não especificados anteriormente,11841066048.32,2012,Comércio varejista de outros produtos não especificados anteriormente,4789,4580
PJ,Comércio varejista de plantas e flores naturais,442423917.84,2012,Comércio varejista de plantas e flores naturais,4789,4580
PJ,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,1636295760.49,2012,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,4729,4580
PJ,Comércio varejista de produtos farmacêuticos homeopáticos,22956914.32,2012,Comércio varejista de produtos farmacêuticos homeopáticos,4771,4580
PJ,"Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas",442834980.56,2012,"Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas",4771,4580
PJ,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",3066399311.26,2012,"Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",4771,4580
PJ,Comércio varejista de produtos saneantes domissanitários,270070308.33,2012,Comércio varejista de produtos saneantes domissanitários,4789,4580
PJ,"Comércio varejista de suvenires, bijuterias e artesanatos",749992179.96,2012,"Comércio varejista de suvenires, bijuterias e artesanatos",4789,4580
PJ,Comércio varejista de tecidos,622993783.31,2012,Comércio varejista de tecidos,4755,4580
PJ,Comércio varejista de tintas e materiais para pintura,863870248.49,2012,Comércio varejista de tintas e materiais para pintura,4741,4580
PJ,Comércio varejista de vidros,636107261.3,2012,Comércio varejista de vidros,4743,4580
PJ,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,8667495593.53,2012,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,4753,4580
PJ,Comércio varejista especializado de equipamentos de telefonia e comunicação,1190748545.76,2012,Comércio varejista especializado de equipamentos de telefonia e comunicação,4752,4580
PJ,Comércio varejista especializado de equipamentos e suprimentos de informática,3249155118.22,2012,Comércio varejista especializado de equipamentos e suprimentos de informática,4751,4580
PJ,"Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação",474409247.91,2012,"Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação",4757,4580
PJ,"Lojas de variedades, exceto lojas de departamentos ou magazines",428061359.13,2012,"Lojas de variedades, exceto lojas de departamentos ou magazines",4713,4580
PJ,Manutenção e reparação de motocicletas e motonetas,36015532.48,2012,Manutenção e reparação de motocicletas e motonetas,4543,4500
PJ,Padaria e confeitaria com predominância de revenda,993008781.09,2012,Padaria e confeitaria com predominância de revenda,4721,4580
PJ,Peixaria,152215153.42,2012,Peixaria,4722,4580
PJ,Representantes comerciais e agentes do comércio de instrumentos e materiais odonto-médico-hospitalares,13395270.17,2012,Representantes comerciais e agentes do comércio de instrumentos e materiais odonto-médico-hospitalares,4618,4580
PJ,"Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens",142026913.03,2012,"Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens",4613,4580
PJ,Representantes comerciais e agentes do comércio de mercadorias em geral não especializado,1415915534.67,2012,Representantes comerciais e agentes do comércio de mercadorias em geral não especializado,4619,4580
PJ,"Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo",216262269.32,2012,"Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo",4617,4580
PJ,Serviços de borracharia para veículos automotores,77097709.47,2012,Serviços de borracharia para veículos automotores,4520,4500
PJ,Serviços de lanternagem ou funilaria e pintura de veículos automotores,180103059.09,2012,Serviços de lanternagem ou funilaria e pintura de veículos automotores,4520,4500
PJ,"Serviços de lavagem, lubrificação e polimento de veículos automotores",152243067.32,2012,"Serviços de lavagem, lubrificação e polimento de veículos automotores",4520,4500
PJ,Serviços de manutenção e reparação elétrica de veículos automotores,57332722.33,2012,Serviços de manutenção e reparação elétrica de veículos automotores,4520,4500
PJ,Serviços de manutenção e reparação mecânica de veículos automotores,1460905271.21,2012,Serviços de manutenção e reparação mecânica de veículos automotores,4520,4500
PJ,Tabacaria,43931521.56,2012,Tabacaria,4729,4580
PJ,Administração de obras,1139590327.23,2012,Administração de obras,4399,4180
PJ,Construção de edifícios,28104068002.45,2012,Construção de edifícios,4120,4180
PJ,Construção de rodovias e ferrovias,7749500872.88,2012,Construção de rodovias e ferrovias,4211,4180
PJ,Incorporação de empreendimentos imobiliários,35757143381.26,2012,Incorporação de empreendimentos imobiliários,4110,4180
PJ,Instalação de painéis publicitários,51741494.86,2012,Instalação de painéis publicitários,4329,4180
PJ,"Instalação de portas, janelas, tetos, divisórias e armários embutidos de qualquer material",76217577.44,2012,"Instalação de portas, janelas, tetos, divisórias e armários embutidos de qualquer material",4330,4180
PJ,"Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração",301179167.27,2012,"Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração",4322,4180
PJ,Instalação e manutenção elétrica,906536495.46,2012,Instalação e manutenção elétrica,4321,4180
PJ,Obras de alvenaria,291319068.49,2012,Obras de alvenaria,4399,4180
PJ,Obras de terraplenagem,3645449678.35,2012,Obras de terraplenagem,4313,4180
PJ,"Obras de urbanização - ruas, praças e calçadas",764982106.71,2012,"Obras de urbanização - ruas, praças e calçadas",4213,4180
PJ,Outras obras de engenharia civil não especificadas anteriormente,4107314052.03,2012,Outras obras de engenharia civil não especificadas anteriormente,4299,4180
PJ,Perfuração e construção de poços de água,107760316.76,2012,Perfuração e construção de poços de água,4399,4180
PJ,Serviços de pintura de edifícios em geral,169598318.22,2012,Serviços de pintura de edifícios em geral,4330,4180
PJ,Cursos preparatórios para concursos,94599965.85,2012,Cursos preparatórios para concursos,8599,8591
PJ,Educação infantil - creche,89596531.83,2012,Educação infantil - creche,8511,8591
PJ,Educação profissional de nível técnico,136342038.22,2012,Educação profissional de nível técnico,8541,8591
PJ,Educação superior - graduação,1819353009.38,2012,Educação superior - graduação,8531,8591
PJ,Ensino de idiomas,272553157.93,2012,Ensino de idiomas,8593,8591
PJ,Ensino fundamental,804225794.79,2012,Ensino fundamental,8513,8591
PJ,Formação de condutores,601176708.33,2012,Formação de condutores,8599,8591
PJ,Outras atividades de ensino não especificadas anteriormente,357875875.82,2012,Outras atividades de ensino não especificadas anteriormente,8599,8591
PJ,Treinamento em desenvolvimento profissional e gerencial,265334306.86,2012,Treinamento em desenvolvimento profissional e gerencial,8599,8591
PJ,Treinamento em informática,74969263.18,2012,Treinamento em informática,8599,8591
PJ,"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras",891225028.49,2012,"Aparelhamento de placas e execução de trabalhos em mármore, granito, ardósia e outras pedras",2391,2300
PJ,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",7830130488.41,2012,"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",1412,1400
PJ,Confecção de roupas íntimas,974316795.98,2012,Confecção de roupas íntimas,1411,1400
PJ,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas",402413799.7,2012,"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas",1412,1400
PJ,"Confecção, sob medida, de roupas profissionais",73629211.3,2012,"Confecção, sob medida, de roupas profissionais",1413,1400
PJ,"Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário",185941941.66,2012,"Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário",1340,1300
PJ,Fabricação de artefatos de borracha não especificados anteriormente,1536151070.77,2012,Fabricação de artefatos de borracha não especificados anteriormente,2219,2200
PJ,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",1273769588.63,2012,"Fabricação de artefatos de cerâmica e barro cozido para uso na construção, exceto azulejos e pisos",2342,2300
PJ,Fabricação de artefatos de cimento para uso na construção,783340258.81,2012,Fabricação de artefatos de cimento para uso na construção,2330,2300
PJ,Fabricação de artefatos de tapeçaria,97393640.8,2012,Fabricação de artefatos de tapeçaria,1352,1300
PJ,"Fabricação de artefatos diversos de madeira, exceto móveis",375151369.11,2012,"Fabricação de artefatos diversos de madeira, exceto móveis",1629,1600
PJ,"Fabricação de artigos de serralheria, exceto esquadrias",577854524.05,2012,"Fabricação de artigos de serralheria, exceto esquadrias",2542,2500
PJ,"Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias",397622246.19,2012,"Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias",1422,1400
PJ,Fabricação de bijuterias e artefatos semelhantes,75020869.41,2012,Fabricação de bijuterias e artefatos semelhantes,3212,3180
PJ,Fabricação de biscoitos e bolachas,789934287.37,2012,Fabricação de biscoitos e bolachas,1092,1093
PJ,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,317699728.93,2012,Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais,1622,1600
PJ,Fabricação de esquadrias de metal,802853177.87,2012,Fabricação de esquadrias de metal,2512,2500
PJ,Fabricação de estruturas metálicas,1624919693.68,2012,Fabricação de estruturas metálicas,2511,2500
PJ,Fabricação de farinha de mandioca e derivados,121558806.75,2012,Fabricação de farinha de mandioca e derivados,1063,1093
PJ,Fabricação de gelo comum,71227167.51,2012,Fabricação de gelo comum,1099,1093
PJ,Fabricação de laticínios,4885141734.99,2012,Fabricação de laticínios,1052,1091
PJ,"Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos",113356364.38,2012,"Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos",3299,3180
PJ,Fabricação de massas alimentícias,755734364.84,2012,Fabricação de massas alimentícias,1094,1093
PJ,Fabricação de móveis com predominância de madeira,4032857878.46,2012,Fabricação de móveis com predominância de madeira,3101,3180
PJ,"Fabricação de móveis de outros materiais, exceto madeira e metal",103894003.01,2012,"Fabricação de móveis de outros materiais, exceto madeira e metal",3103,3180
PJ,Fabricação de outros produtos alimentícios não especificados anteriormente,2515851428.13,2012,Fabricação de outros produtos alimentícios não especificados anteriormente,1099,1093
PJ,Fabricação de outros produtos de metal não especificados anteriormente,2415665552.75,2012,Fabricação de outros produtos de metal não especificados anteriormente,2599,2500
PJ,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,794597480.23,2012,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,1091,1093
PJ,Fabricação de produtos de panificação industrial,691875918.45,2012,Fabricação de produtos de panificação industrial,1091,1093
PJ,Fabricação de produtos diversos não especificados anteriormente,237884547.92,2012,Fabricação de produtos diversos não especificados anteriormente,3299,3180
PJ,Fabricação de sabões e detergentes sintéticos,593319854.46,2012,Fabricação de sabões e detergentes sintéticos,2061,2093
PJ,Fabricação de sorvetes e outros gelados comestíveis,369381739.21,2012,Fabricação de sorvetes e outros gelados comestíveis,1053,1091
PJ,"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados",197490515.18,2012,"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados",1033,1093
PJ,Frigorífico - abate de bovinos,13291769319.73,2012,Frigorífico - abate de bovinos,1011,1091
PJ,Impressão de material para outros usos,983922848.61,2012,Impressão de material para outros usos,1813,1800
PJ,Impressão de material para uso publicitário,436421687.98,2012,Impressão de material para uso publicitário,1813,1800
PJ,Manutenção e reparação de equipamentos e produtos não especificados anteriormente,62093593.04,2012,Manutenção e reparação de equipamentos e produtos não especificados anteriormente,3319,3300
PJ,"Manutenção e reparação de geradores, transformadores e motores elétricos",91625795.98,2012,"Manutenção e reparação de geradores, transformadores e motores elétricos",3313,3300
PJ,Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial,66263710.07,2012,Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial,3314,3300
PJ,Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente,169203991.06,2012,Manutenção e reparação de máquinas e equipamentos para uso geral não especificados anteriormente,3314,3300
PJ,Manutenção e reparação de máquinas motrizes não-elétricas,6884791.99,2012,Manutenção e reparação de máquinas motrizes não-elétricas,3314,3300
PJ,"Serviços de acabamentos gráficos, exceto encadernação e plastificação",218737382.32,2012,"Serviços de acabamentos gráficos, exceto encadernação e plastificação",1822,1800
