word;dict;goo;pt
Republican;rəˈpʌb.lɪ.kən;nan;nan
Russian;ˈrʌʃ.ən;ˈrəSHən;Russa(feminino)
Senate;ˈsen.ət;nan;nan
Soviet;ˈsoʊ.vi.ət;nan;nan
Spanish;ˈspæn.ɪʃ;ˈspaniSH;Espanhola(feminino)
Supreme;suːˈpriːm;nan;nan
TV;ˌtiːˈviː;nan;nan
United;juːˈnaɪt;nan;nan
a;ə;ā;uma(feminino)
aa;ˌeɪˈeɪ;ˈäˌä;aa
aaa;ˌeɪ.eɪˈeɪ;nan;nan
aardvark;ˈɑːrd.vɑːrk;nan;nan
aardwolf;nan;ˈärdwo͝olf;Aardwolf
aaron; /ˈerən/,  /ˈærən/;nan;nan
ab;ˌeɪˈbiː;nan;nan
aback;əˈbæk;nan;nan
abacus;ˈæb.ə.kəs;nan;nan
abaft;əˈbæft;əˈbaft;à popa
abalone;æb.əˈloʊ.ni;ˌabəˈlōnē;abalone
abandon;əˈbæn.dən;əˈbandən;abandono
abandoned;əˈbæn.dənd;əˈband(ə)nd;abandonada(feminino)
abandonment;əˈbæn.dən.mənt;əˈbandənmənt;abandono
abase;əˈbeɪs;əˈbās;humilhar
abased;əˈbeɪs;nan;nan
abasement;əˈbeɪs.mənt;əˈbāsmənt;humilhação
abash;əˈbæʃ;əˈbaSH;ABASH
abashed;əˈbæʃt;əˈbaSHt;envergonhada(feminino)
abate;əˈbeɪt;əˈbāt;diminuir
abated;əˈbeɪt;nan;nan
abatement;əˈbeɪt.mənt;əˈbātmənt;redução
abattoir;ˈæb.ə.twɑːr;nan;abatedouro
abbess; /ˈæbes/;ˈabəs;abadessa
abbey; /ˈæbi/;ˈabē;Mosteiro
abbot; /ˈæbət/;ˈabət;abade
abbreviate;əˈbriː.vi.eɪt;əˈbrēvēˌāt;abreviar
abbreviated;əˈbriː.vi.eɪ.t̬ɪd;əˈbrēvēˌādəd;abreviada(feminino)
abbreviating;əˈbriː.vi.eɪt;nan;nan
abbreviation;əˌbriː.viˈeɪ.ʃən;əˌbrēvēˈāSH(ə)n;abreviação
abc;ˌeɪ.biːˈsiː;nan;nan
abdicate;ˈæb.də.keɪt;ˈabdəˌkāt;abdicar
abdicated;ˈæb.dɪ.keɪt;nan;abdicada(feminino)
abdicating;ˈæb.dɪ.keɪt;nan;nan
abdication;ˌæb.dəˈkeɪ.ʃən;ˌabdəˈkāSH(ə)n;abdicação
abdomen;ˈæb.də.mən;ˈabdəmən;abdômen
abdominal;æbˈdɑː.mə.nəl;abˈdämən(ə)l;abdominal
abduct;æbˈdʌkt;abˈdəkt;sequestrar
abducted;æbˈdʌkt;nan;nan
abducting;æbˈdʌkt;nan;nan
abduction;æbˈdʌk.ʃən;abˈdəkSH(ə)n;abdução
abductor;æbˈdʌk.tɚ;abˈdəktər;abdutora(feminino)
abe; /eɪb/;nan;nan
abeam;nan;əˈbēm;Abeam
abele;nan;əˈbēl;Abele
aberdeen;æb.ɚˈdiːn;nan;nan
aberrant;əˈber.ənt;ˈabərənt;aberrante
aberration;ˌæb.əˈreɪ.ʃən;ˌabəˈrāSH(ə)n;aberração
abet;əˈbet;əˈbet;instigar
abeyance;əˈbeɪ.əns;əˈbāəns;Auncora
abhor;æbˈhɔːr;abˈhôr;abomino
abhor; /əbˈhɔːr/;abˈhôr;abomino
abhorrence;æbˈhɔːr.əns;abˈhôrəns;aversão
abhorrent;æbˈhɔːr.ənt;abˈhôrənt;abominável
abide;əˈbaɪd;əˈbīd;residir
abided;əˈbaɪd;nan;nan
abiding;əˈbaɪ.dɪŋ;əˈbīdiNG;permanência
abilities;əˈbɪl.ə.t̬i;nan;nan
ability;əˈbɪl.ə.t̬i;əˈbilədē;habilidade
abject;ˈæb.dʒekt;ˈabˌjekt;abjeta(feminino)
abjectly;ˈæb.dʒekt.li;nan;abjeta(feminino)
abjure;əbˈdʒʊr;abˈjo͝or;abjurar
abjured;əbˈdʒʊər;nan;abjurado
ablate;əˈbleɪt;əˈblāt;ablate
ablate;nan;əˈblāt;ablate
ablation;ˌæbˈleɪ.ʃən;əˈblāSHən;ablação
ablative;ˈæb.lə.t̬ɪv;ˈablədiv;ablativa(feminino)
ablaze;əˈbleɪz;əˈblāz;em chamas
able;ˈeɪ.bəl;ˈābəl;capaz
abloom;nan;əˈblo͞om;ablloom
ablution;əˈbluː.ʃən;əˈblo͞oSHən;ablução
ably;ˈeɪ.bli;ˈāblē;habilmente
abnegation;ˌæb.nəˈɡeɪ.ʃən;ˌabnəˈɡāSH(ə)n;abnegação
abnormal;æbˈnɔːr.məl;abˈnôrməl;anormal
abnormality;ˌæb.nɔːrˈmæl.ə.t̬i;ˌabnôrˈmalədē;anormalidade
abnormally;æbˈnɔːr.məl.i;abˈnôrməlē;anormalmente
aboard;əˈbɔːrd;əˈbôrd;a bordo
abode;əˈboʊd;əˈbōd;morada(feminino)
abolish;əˈbɑː.lɪʃ;əˈbäliSH;abolir
abolished;əˈbɒl.ɪʃ;nan;abolido
abolishing;əˈbɒl.ɪʃ;nan;nan
abolition;ˌæb.əˈlɪʃ.ən;ˌabəˈliSH(ə)n;abolição
abolitionist;ˌæb.əˈlɪʃ.ən.ɪst;ˌabəˈliSHənəst;abolicionista
abominable;əˈbɑː.mə.nə.bəl;əˈbäm(ə)nəb(ə)l;abominável
abominably;əˈbɑː.mə.nə.bli;əˈbäm(ə)nəblē;abominavelmente
abominate;əˈbɑː.mə.neɪt;əˈbäməˌnāt;abominar
abominated;əˈbɒm.ɪ.neɪt;nan;abominada(feminino)
abomination;əˌbɑː.məˈneɪ.ʃən;əˌbäməˈnāSH(ə)n;abominação
aboriginal;ˌæb.əˈrɪdʒ.ən.əl;ˌabəˈrijənl;aborígene
abort;əˈbɔːrt;əˈbôrt;abortar
aborted;əˈbɔːt;nan;abortada(feminino)
aborting;əˈbɔːt;nan;nan
abortion;əˈbɔːr.ʃən;əˈbôrSH(ə)n;aborto
abortionist;əˈbɔːr.ʃən.ɪst;nan;abortista
abortive;əˈbɔːr.t̬ɪv;əˈbôrdiv;aborto
abound;əˈbaʊnd;əˈbound;abundante
abounded;əˈbaʊnd;nan;nan
abounding;əˈbaʊnd;nan;nan
about;əˈbaʊt;əˈbout;cerca de
above;əˈbʌv;əˈbəv;acima de
abraded;əˈbreɪd;nan;desgastada(feminino)
abraham; /ˈeɪbrəhæm/;nan;nan
abrasion;əˈbreɪ.ʒən;əˈbrāZHən;abrasão
abrasive;əˈbreɪ.sɪv;əˈbrāsiv;abrasiva(feminino)
abrasively;əˈbreɪ.sɪv.li;nan;abrasivamente
abrasiveness;əˈbreɪ.sɪv.nəs;nan;abrasividade
abreast;əˈbrest;əˈbrest;alada(feminino)
abridge;əˈbrɪdʒ;əˈbrij;abreviar
abridged;əˈbrɪdʒd;əˈbrijd;resumida(feminino)
abridging;əˈbrɪdʒ;nan;nan
abroad;əˈbrɑːd;əˈbrôd;fora do país
abrogate;ˈæb.rə.ɡeɪt;ˈabrəˌɡāt;revogar
abrogated;ˈæb.rə.ɡeɪt;nan;nan
abrogating;ˈæb.rə.ɡeɪt;nan;nan
abrogation;ˌæb.rəˈɡeɪ.ʃən;ˌabrəˈɡāSH(ə)n;revogação
abrogations;nan;ˌabrəˈɡāSH(ə)n;revogações
abrupt;əˈbrʌpt;əˈbrəpt;abrupta(feminino)
abruptly;əˈbrʌpt.li;əˈbrəptlē;abruptamente
abruptness;əˈbrʌpt.nəs;nan;aspereza
abs;æbz;abz;abdômen
abscess;ˈæb.ses;ˈabˌses;abscesso
abscissa;æbˈsɪs.ə;abˈsisə;abscissa
abscond;æbˈskɑːnd;əbˈskänd;fugir
absconded;æbˈskɒnd;nan;fui
absconder;æbˈskɑːn.dɚ;nan;absconder
absconding;æbˈskɒnd;nan;nan
abseil;ˈæb.seɪl;nan;ABSEIL
abseiled;ˈæb.seɪl;nan;nan
abseiling;ˈæb.seɪ.lɪŋ;nan;rabisão
absence;ˈæb.səns;ˈabsəns;ausência
absent;ˈæb.sənt;nan;ausente
absentee;ˌæb.sənˈtiː;ˌabsənˈtē;ausente
absenteeism;ˌæb.sənˈtiː.ɪ.zəm;ˌabsənˈtēˌizəm;absentismo
absently;ˈæb.sənt.li;ˈabsəntlē;distraidamente
absentminded;nan;ˌabsəntˈmīndəd;distraída(feminino)
absolute;ˈæb.sə.luːt;ˈabsəˌlo͞ot;absoluta(feminino)
absolutely;ˌæb.səˈluːt.li;ˈabsəˌl(y)o͞otlē;absolutamente
absolution;ˌæb.səˈluː.ʃən;ˌabsəˈl(y)o͞oSH(ə)n;absolvição
absolutism;ˈæb.sə.luː.t̬ɪ.zəm;ˈabsəl(y)o͞oˌtizəm;absolutismo
absolutist; /ˈæbsəluːtɪst/;ˌabsəˈl(y)o͞odəst;absolutista
absolutists;nan;ˌabsəˈl(y)o͞odəst;absolutistas
absolve;əbˈzɑːlv;əbˈzälv;absolver
absolved;əbˈzɒlv;nan;absolvida(feminino)
absolving;əbˈzɒlv;nan;nan
absorb;əbˈzɔːrb;əbˈzôrb;absorver
absorbed;əbˈzɔːrbd;əbˈzôrbd;absorvida(feminino)
absorbency;əbˈzɔːr.bən.si;nan;absorção
absorbent;əbˈzɔːr.bənt;əbˈzôrbənt;absorvente
absorbing;əbˈzɔːr.bɪŋ;əbˈzôrbiNG;absorvente
absorption;əbˈzɔːrp.ʃən;əbˈzôrpSH(ə)n;absorção
absorptive;əbˈzɔːrp.tɪv;əbˈzôrptiv;absorção
absorptivity;nan;ˌabzôrpˈtivədē;absortividade
abstain;æbˈsteɪn;əbˈstān;abster -se
abstained;æbˈsteɪn;nan;nan
abstainer;æbˈsteɪ.nɚ;nan;abstêmia(feminino)
abstaining;æbˈsteɪn;nan;nan
abstemious;æbˈstiː.mi.əs;əbˈstēmēəs;abstêmio
abstemiously;æbˈstiː.mi.əs.li;nan;abstramiosamente
abstention;æbˈsten.ʃən;əbˈsten(t)SH(ə)n;abstenção
abstinence;ˈæb.stə.nəns;ˈabstənəns;abstinência
abstinent;ˈæb.stə.nənt;ˈabstənənt;abstinente
abstract;ˈæb.strækt;nan;abstrata(feminino)
abstracted;æbˈstræk.tɪd;abˈstraktəd;abstraída(feminino)
abstractedly;æbˈstræk.tɪd.li;nan;resumo
abstraction;æbˈstræk.ʃən;abˈstrakSH(ə)n;abstração
abstractly;ˈæb.strækt.li;nan;abstratamente
abstracts;ˈæb.strækt;nan;nan
abstruse;æbˈstruːs;abˈstro͞os;abstrusa(feminino)
absurd;əbˈsɝːd;əbˈsərd;absurda(feminino)
absurdist; /əbˈsɜːrdɪst/;əbˈsərdəst;absurdo
absurdity;əbˈsɝː.də.t̬i;əbˈsərdədē;absurdo
absurdly;əbˈsɝːd.li;əbˈsərdlē;absurdamente
abu;ˌɑː.buːˈdɑː.bi;nan;nan
abundance;əˈbʌn.dəns;əˈbəndəns;abundância
abundant;əˈbʌn.dənt;əˈbəndənt;abundante
abundantly;əˈbʌn.dənt.li;əˈbəndəntlē;abundantemente
abuse;əˈbjuːz;nan;Abuso
abused;əˈbjuːz;nan;nan
abuser;əˈbjuː.zɚ;əˈbyo͞ozər;abusadora(feminino)
abusing;əˈbjuːz;nan;nan
abusive;əˈbjuː.sɪv;əˈbyo͞osiv;abusiva(feminino)
abusively; /əˈbjuːsɪvli/;nan;nan
abut; /əˈbʌt/;əˈbət;bobo
abut;əˈbʌt;əˈbət;bobo
abutment;əˈbʌt.mənt;əˈbətmənt;Acenda
abuzz; /əˈbʌz/;əˈbəz;Aos
abysmal; /əˈbɪzməl/;əˈbizməl;abismal
abysmally; /əˈbɪzməli/;əˈbizməlē;abismalmente
abyssal;əˈbɪs.əl;əˈbisəl;abissal
ac;ˌeɪˈsiː;nan;nan
acacia;əˈkeɪ.ʃə;əˈkāSHə;acácia
academe;ˈæk.ə.diːm;ˌakəˈdēm;Academia
academia;ˌæk.əˈdiː.mi.ə;nan;nan
academic;ˌæk.əˈdem.ɪk;ˌakəˈdemik;acadêmica(feminino)
academically;ˌæk.əˈdem.ɪ.kəl.i;akəˈdemiklē;academicamente
academician;əˌkæd.əˈmɪʃ.ən;ˌakədəˈmiSHən;acadêmica(feminino)
academics;ˌæk·əˈdem·ɪks;nan;acadêmicas(feminino)
academy;əˈkæd.ə.mi;əˈkadəmē;Academia
acanthus; /əˈkænθəs/;əˈkanTHəs;acanto
accede;əkˈsiːd;əkˈsēd;aderir
accelerate;əkˈsel.ɚ.eɪt;əkˈseləˌrāt;acelerar
accelerated;əkˈseləreɪtɪd;nan;acelerada(feminino)
accelerating;əkˈsel.ə.reɪt;nan;acelerando
acceleration;əkˌsel.əˈreɪ.ʃən;akˌseləˈrāSH(ə)n;aceleração
accelerations;nan;akˌseləˈrāSH(ə)n;acelerações
accelerator;əkˈsel.ɚ.eɪ.t̬ɚ;əkˈseləˌrādər;acelerador
accelerometer;əkˌsel.əˈrɑː.mə.t̬ɚ;əkˌseləˈrämədər;acelerômetro
accent;ˈæk.sənt;nan;sotaque
accented;ˈæk.sen.t̬ɪd;ˈakˌsen(t)əd;acentuada(feminino)
accenting;əkˈsent;nan;acentuando
accentuate;əkˈsen.tʃu.eɪt;əkˈsen(t)SHəˌwāt;acentuar
accentuated;əkˈsen.tʃu.eɪt;nan;nan
accentuating;əkˈsen.tʃu.eɪt;nan;nan
accentuation;əkˌsen.tʃuˈeɪ.ʃən;əkˌsen(t)SHo͞oˈāSH(ə)n;acentuação
accept;əkˈsept;əkˈsept;aceitar
acceptability;əkˌsep.təˈbɪl.ə.t̬i;əkˌseptəˈbilədē;aceitabilidade
acceptable;əkˈsept.ə.bəl;əkˈseptəb(ə)l;aceitável
acceptably; /əkˈseptəbli/;əkˈseptəblē;aceitavelmente
acceptance;əkˈsep.təns;əkˈseptəns;aceitação
accepted;əkˈsep.tɪd;əkˈseptəd;aceitaram
accepting;əkˈsep.tɪŋ;nan;aceitando
acceptor;əkˈsep.tɚ;əkˈseptər;aceitadora(feminino)
accepts;əkˈsept;nan;nan
access;ˈæk.ses;ˈakˌses;Acesso
accessed;ˈæk.ses;nan;nan
accessibility;əkˌses.əˈbɪl.ə.t̬i;əkˌsesəˈbilədē;acessibilidade
accessible;əkˈses.ə.bəl;əkˈsesəb(ə)l;acessível
accessing;ˈæk.ses;nan;nan
accession;əkˈseʃ.ən;akˈseSHən;adesão
accession; /əkˈseʃn/;akˈseSHən;adesão
accessories;əkˈses.ər.i;nan;nan
accessory;əkˈses.ər.i;əkˈses(ə)rē;acessória(feminino)
accidence; /ˈæksɪdəns/;ˈaksədəns;adesão
accident;ˈæk.sə.dənt;ˈaksədənt;acidente
accidental;ˌæk.səˈden.t̬əl;ˌaksəˈden(t)l;acidental
accidentally;ˌæk.səˈden.t̬əl.i;ˌaksəˈden(t)(ə)lē;acidentalmente
accidents;ˈæk.sə.dənt;nan;nan
acclaim;əˈkleɪm;əˈklām;aclamação
acclaimed;əˈkleɪmd;nan;aclamada(feminino)
acclamation;ˌæk.ləˈmeɪ.ʃən;ˌakləˈmāSH(ə)n;aclamação
accolade;ˈæk.ə.leɪd;ˈakəˌlād;elogio
accommodate;əˈkɑː.mə.deɪt;əˈkäməˌdāt;acomodar
accommodated;əˈkɒm.ə.deɪt;nan;acomodada(feminino)
accommodating;əˈkɑː.mə.deɪ.t̬ɪŋ;əˈkäməˌdādiNG;Acomodante
accommodation;əˌkɑː.məˈdeɪ.ʃən;əˌkäməˈdāSH(ə)n;alojamento
accommodations;əˌkɑː.məˈdeɪ.ʃənz;nan;Acomodações
accompanied;əˈkʌm.pə.ni;nan;acompanhado
accompaniment;əˈkʌm.pən.ɪ.mənt;əˈkəmp(ə)nimənt;acompanhamento
accompanist;əˈkʌm.pə.nɪst;əˈkəmpənəst;acompanhante
accompany;əˈkʌm.pə.ni;əˈkəmp(ə)nē;acompanhar
accompanying;əˈkʌm.pə.ni.ɪŋ;əˈkəmp(ə)nēiNG;acompanhante
accomplice;əˈkɑːm.plɪs;əˈkämpləs;cúmplice
accomplish;əˈkɑːm.plɪʃ;əˈkämpliSH;concluir
accomplished;əˈkɑːm.plɪʃt;əˈkämpliSHt;realizada(feminino)
accomplishing;əˈkʌm.plɪʃ;nan;realização
accomplishment;əˈkɑːm.plɪʃ.mənt;əˈkämpliSHmənt;realização
accord;əˈkɔːrd;əˈkôrd;acordo
accordance;əˈkɔːr.dəns;əˈkôrdns;conformidade
accorded;əˈkɔːd;nan;concedida(feminino)
according;əˈkɔːd;əˈkôrdiNG;de acordo com
accordingly;əˈkɔːr.dɪŋ.li;əˈkôrdiNGlē;adequadamente
accordion;əˈkɔːr.di.ən;əˈkôrdēən;acordeão
accost;əˈkɑːst;əˈkôst;ACOSTO
accosted;əˈkɒst;nan;abordada(feminino)
accosting;əˈkɒst;nan;nan
account;əˈkaʊnt;əˈkount;conta
accountability;əˌkaʊn.t̬əˈbɪl.ə.t̬i;əˌkoun(t)əˈbilədē;responsabilidade
accountable;əˈkaʊn.t̬ə.bəl;əˈkoun(t)əb(ə)l;responsável
accountancy;əˈkaʊn.t̬ən.si;əˈkountənsē;contabilidade
accountant;əˈkaʊn.t̬ənt;əˈkount(ə)nt;contadora(feminino)
accounted;əˈkaʊnt;nan;nan
accounting;əˈkaʊn.t̬ɪŋ;əˈkoun(t)iNG;contabilidade
accounts;əˈkaʊnts;nan;Contas
accredit;əˈkred.ɪt;əˈkredət;credenciada(feminino)
accreditation;əˌkred.əˈteɪ.ʃən;əˌkrediˈtāSH(ə)n;Credenciamento
accredited;əˈkred.ɪ.t̬ɪd;əˈkredədəd;credenciada(feminino)
accrediting;əˈkred.ɪt;nan;nan
accrete;nan;əˈkrēt;acumular
accretion;əˈkriː.ʃən;əˈkrēSH(ə)n;acreção
accrual;əˈkruː.əl;əˈkro͞oəl;Accrua
accrue;əˈkruː;əˈkro͞o;acumular
accrued;əˈkruː;nan;nan
accruing;əˈkruː;nan;nan
accumulate;əˈkjuː.mjə.leɪt;əˈkyo͞om(y)əˌlāt;acumular
accumulated;əˈkjuː.mjə.leɪt;nan;nan
accumulating;əˈkjuː.mjə.leɪt;nan;nan
accumulation;əˌkjuː.mjəˈleɪ.ʃən;əˌkyo͞om(y)əˈlāSH(ə)n;acumulação
accumulative;əˈkjuː.mjə.lə.t̬ɪv;əˈkyo͞om(y)ələdiv;acumulativa(feminino)
accumulator;əˈkjuː.mjə.leɪ.t̬ɚ;əˈkyo͞om(y)əˌlādər;acumulador
accuracy;ˈæk.jɚ.ə.si;ˈakyərəsē;precisão
accurate;ˈæk.jɚ.ət;ˈakyərət;exata(feminino)
accurately;ˈæk.jɚ.ət.li;ˈakyərətlē;com precisão
accursed;əˈkɝːst;əˈkərst;amaldiçoada(feminino)
accusal;nan;əˈkyo͞ozəl;acusação
accusals;nan;əˈkyo͞ozəl;acusações
accusation;ˌæk.jəˈzeɪ.ʃən;ˌakyəˈzāSH(ə)n;acusação
accusative;əˈkjuː.zə.t̬ɪv;əˈkyo͞ozədiv;acusativa(feminino)
accusatory;əˈkjuː.zə.tɔːr.i;əˈkyo͞ozəˌtôrē;acusatória(feminino)
accuse;əˈkjuːz;əˈkyo͞oz;acusar
accused;əˈkjuːzd;əˈkyo͞ozd;acusada(feminino)
accuser;əˈkjuː.zɚ;əˈkyo͞ozər;acusador
accusing;əˈkjuː.zɪŋ;əˈkyo͞oziNG;acusando
accusingly;əˈkjuː.zɪŋ.li;nan;acusadoramente
accustom;əˈkʌs·təm;əˈkəstəm;acostumar
accustomed;əˈkʌs.təmd;əˈkəstəmd;acostumado
ace;eɪs;ās;ás
acer;ˈeɪ.sɚ;nan;nan
acerbic;əˈsɝː.bɪk;əˈsərbik;Acerbic
acerbity;əˈsɝː.bə.t̬i;əˈsərbədē;ACERBITY
acetal;nan;ˈasəˌtal;Acetal
acetate;ˈæs.ə.teɪt;ˈasəˌtāt;acetato
acetone;ˈæs.ə.t̬oʊn;ˈasəˌtōn;acetona
acetylene;əˈset̬.ə.liːn;əˈsed(ə)lˌēn;acetileno
ache;eɪk;āk;dor
ache; /eɪk/;āk;dor
ached;eɪk;nan;nan
achievable;əˈtʃiː.və.bəl;əˈCHēvəb(ə)l;alcançável
achieve;əˈtʃiːv;əˈCHēv;alcançar
achieved;əˈtʃiːv;nan;nan
achievement;əˈtʃiːv.mənt;əˈCHēvmənt;conquista
achievements;əˈtʃiːv.mənt;nan;nan
achiever;əˈtʃiː.vɚ;əˈCHēvər;Achiever
achieving;əˈtʃiːv;nan;nan
aching;eɪk;nan;nan
achingly;ˈeɪ.kɪŋ.li;ˈākiNGlē;dolorosamente
achromatic;nan;ˌakrəˈmadik;acromática(feminino)
achy;ˈeɪ.ki;ˈākē;dolorida(feminino)
acid;ˈæs.ɪd;ˈasəd;ácida(feminino)
acidic;əˈsɪd.ɪk;əˈsidik;ácida(feminino)
acidification;əˌsɪd.ɪ.fɪˈkeɪ.ʃən;əˌsidəfəˈkāSH(ə)n;Acidificação
acidified;əˈsɪd.ɪ.faɪ;nan;acidificado
acidify;əˈsɪd.ə.faɪ;əˈsidəˌfī;acidificar
acidifying;əˈsɪd.ɪ.faɪ;nan;nan
acidity;əˈsɪd.ə.t̬i;əˈsidədē;acidez
acidly;ˈæs.ɪd.li;ˈasədlē;acidamente
acidrain;nan;ˈasəd ˌrān;chuva ácida
acids;ˈæs.ɪd;nan;nan
acknowledge;əkˈnɑː.lɪdʒ;əkˈnäləj;reconhecer
acknowledged;ɪkˈnɑl·ɪdʒd;əkˈnäləjd;reconhecida(feminino)
acknowledgement;əkˈnɒlɪdʒmənt;əkˈnäləjmənt;reconhecimento
acknowledging;əkˈnɒl.ɪdʒ;nan;reconhecendo
acknowledgment;əkˈnɑː.lɪdʒ.mənt;əkˈnäləjmənt;reconhecimento
acknowledgments;ɪkˈnɑl·ɪdʒ·mənts;nan;Agradecimentos
acne;ˈæk.ni;ˈaknē;acne
acolyte;ˈæk.əl.aɪt;ˈakəˌlīt;acólito
aconite; /ˈækənaɪt/;ˈakəˌnīt;acônito
acorn;ˈeɪ.kɔːrn;ˈāˌkôrn;bolota
acoustic;əˈkuː.stɪk;əˈko͞ostik;acústica(feminino)
acoustically;əˈkuː.stɪ.kəl.i;nan;acusticamente
acoustics;əˈkuː.stɪks;nan;acústica(feminino)
acquaint;əˈkweɪnt;əˈkwānt;familiarizar
acquaintance;əˈkweɪn.təns;əˈkwāntəns;conhecida(feminino)
acquainted;əˈkweɪn.t̬ɪd;nan;familiarizada(feminino)
acquiesce;ˌæk.wiˈes;ˌakwēˈes;aquiesce
acquiesced;ˌæk.wiˈes;nan;nan
acquiescence;ˌæk.wiˈes.əns;ˌakwēˈesəns;aquiescência
acquiescent;ˌæk.wiˈes.ənt;ˌakwēˈes(ə)nt;aquiescente
acquiescing;ˌæk.wiˈes;nan;nan
acquire;əˈkwaɪɚ;əˈkwī(ə)r;adquirir
acquired;əˈkwaɪər;nan;adquirida(feminino)
acquirer;əˈkwaɪr.ɚ;əˈkwī(ə)rər;adquirente
acquiring;əˈkwaɪər;nan;nan
acquisition;ˌæk.wəˈzɪʃ.ən;ˌakwəˈziSH(ə)n;aquisição
acquisitions;ˌæk.wəˈzɪʃ.ən;nan;nan
acquisitive;əˈkwɪz.ə.t̬ɪv;əˈkwizədiv;aquisitiva(feminino)
acquisitiveness;əˈkwɪz.ə.t̬ɪv.nəs;əˈkwizidivnəs;aquisição
acquit;əˈkwɪt;əˈkwit;absolver
acquit; /əˈkwɪt/;əˈkwit;absolver
acquittal;əˈkwɪt̬.əl;əˈkwid(ə)l;absolvição
acquittance;nan;əˈkwitns;quitação
acre;ˈeɪ.kɚ;ˈākər;Acre
acreage;ˈeɪ.kɚ.ɪdʒ;ˈāk(ə)rij;área cultivada
acres;ˈeɪ.kɚ;nan;nan
acrid;ˈæk.rɪd;ˈakrəd;acre
acrimonious;ˌæk.rəˈmoʊ.ni.əs;ˌakrəˈmōnēəs;acrimonious
acrimoniously;ˌæk.rəˈmoʊ.ni.əs.li;nan;acrimoniosamente
acrimony;ˈæk.rəˌmoʊ.ni;ˈakrəˌmōnē;Acrimonia
acrobat;ˈæk.rə.bæt;ˈakrəˌbat;acrobata
acrobatic;ˌæk.rəˈbæt̬.ɪk;ˌakrəˈbadik;acrobática(feminino)
acrobatics;ˌæk.rəˈbæt̬.ɪks;ˌakrəˈbadiks;Acrobacias
acronym;ˈæk.rə.nɪm;ˈakrəˌnim;acrônimo
across;əˈkrɑːs;əˈkrôs;através
acrostic;əˈkrɑː.stɪk;əˈkrôstik;acróstico
acrylic;əˈkrɪl.ɪk;əˈkrilik;acrílica(feminino)
act;ækt;akt;Aja
act; /ækt/;akt;Aja
acting;ˈæk.tɪŋ;ˈaktiNG;atuando
actinides;nan;ˈaktəˌnīd;actinídeos
action;ˈæk.ʃən;ˈakSH(ə)n;ação
actionable;ˈæk.ʃən.ə.bəl;ˈakSH(ə)nəb(ə)l;acionável
actions;ˈæk.ʃən;nan;nan
activate;ˈæk.tə.veɪt;ˈaktəˌvāt;ativar
