data_base,uf,tcb,sr,cliente,ocupacao,cnae_secao,cnae_subclasse,porte,modalidade,origem,indexador,numero_de_operacoes,a_vencer_ate_90_dias,a_vencer_de_91_ate_360_dias,a_vencer_de_361_ate_1080_dias,a_vencer_de_1081_ate_1800_dias,a_vencer_de_1801_ate_5400_dias,a_vencer_acima_de_5400_dias,vencido_acima_de_15_dias,carteira_ativa,carteira_inadimplida_arrastada,ativo_problematico
2023-01-31,GO,Bancário,S1,PJ,-,"PJ - Transporte, armazenagem e correio","PJ - Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",PJ - Grande                                  ,PJ - Investimento,Sem destinação específica,Prefixado,178,8131803.35,22254557.42,27836172.71,4213033.53,65194.55,0.0,0.0,62500761.56,0.0,0.0
2023-01-31,RJ,Cooperativas,S4,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,PJ - Comércio varejista de materiais de construção em geral,PJ - Pequeno                                 ,PJ - Outros créditos,Sem destinação específica,Flutuantes,<= 15,25223.14,66746.77,175209.99,0.0,0.0,0.0,0.0,267179.9,0.0,0.0
2023-01-31,RN,Bancário,S1,PJ,-,"PJ - Agricultura, pecuária, produção florestal, pesca e aqüicultura",-,PJ - Médio                                   ,PJ - Outros créditos,Sem destinação específica,Prefixado,<= 15,17343.37,1872.13,0.0,0.0,0.0,0.0,0.0,19215.5,0.0,0.0
2023-01-31,RS,Bancário,S1,PJ,-,PJ - Atividades imobiliárias,PJ - Aluguel de imóveis próprios,PJ - Micro                                   ,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Com destinação específica,Pós-fixado,<= 15,96786.81,667118.31,1179102.33,415904.39,0.0,0.0,0.0,2358911.84,0.0,0.0
2023-01-31,BA,Não bancário,S5,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,PJ - Comércio varejista de calçados,PJ - Micro                                   ,PJ - Outros créditos,Sem destinação específica,Prefixado,17,15128.91,4711.87,0.0,0.0,0.0,0.0,4665.87,24506.65,4161.24,4161.24
2023-01-31,MS,Cooperativas,S4,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,PJ - Comércio varejista de lubrificantes,PJ - Micro                                   ,PJ - Outros créditos,Sem destinação específica,Prefixado,<= 15,5836.51,269.22,0.0,0.0,0.0,0.0,0.0,6105.73,0.0,0.0
2023-01-31,MG,Bancário,S1,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,PJ - Comércio atacadista de café em grão,PJ - Grande                                  ,PJ - Comércio exterior,Sem destinação específica,Pós-fixado,25,74665691.56,102638719.93,0.0,0.0,0.0,0.0,0.0,177304411.49,0.0,0.0
2023-01-31,MG,Bancário,S3,PF,PF - Empregado de entidades sem fins lucrativos,-,-,PF - Mais de 10 a 20 salários mínimos        ,PF - Cartão de crédito,Sem destinação específica,Prefixado,229,308762.05,251548.41,5764.09,195.16,0.0,0.0,42409.44,608679.15,35913.62,36307.03
2023-01-31,SC,Bancário,S3,PJ,-,PJ - Informação e comunicação,PJ - Desenvolvimento e licenciamento de programas de computador não-customizáveis,PJ - Micro                                   ,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Com destinação específica,Flutuantes,<= 15,5808.52,16372.61,17995.13,0.0,0.0,0.0,0.0,40176.26,0.0,0.0
2023-01-31,RS,Bancário,S4,PF,PF - MEI,-,-,PF - Mais de 2 a 3 salários mínimos          ,PF - Habitacional,Sem destinação específica,Índices de preços,<= 15,8850.76,18463.44,41851.27,36563.99,74691.21,0.0,0.0,180420.67,0.0,0.0
2023-01-31,PR,Bancário,S1,PJ,-,PJ - Indústrias de transformação,PJ - Fabricação de embalagens de material plástico,PJ - Grande                                  ,PJ - Comércio exterior,Sem destinação específica,Flutuantes,<= 15,1693846.14,4696923.04,12124407.24,3087486.62,0.0,0.0,0.0,21602663.04,0.0,0.0
2023-01-31,PR,Cooperativas,S5,PJ,-,PJ - Atividades administrativas e serviços complementares,PJ - Operadores turísticos,PJ - Micro                                   ,PJ - Capital de giro,Sem destinação específica,Prefixado,<= 15,6153.27,4532.96,1034.15,0.0,0.0,0.0,0.0,11720.38,0.0,0.0
2023-01-31,RO,Bancário,S3,PF,PF - Outros,-,-,PF - Até 1 salário mínimo                    ,PF - Veículos,Sem destinação específica,Prefixado,27,90305.66,296779.97,397756.29,209641.85,363.79,0.0,14487.77,1009335.33,54050.36,75792.03
2023-01-31,RO,Não bancário,S3,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,"PJ - Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas",PJ - Micro                                   ,PJ - Outros créditos,Sem destinação específica,Prefixado,<= 15,5666.68,3160.58,0.0,0.0,0.0,0.0,0.0,8827.26,0.0,0.0
2023-01-31,ES,Bancário,S3,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,PJ - Comércio varejista de artigos de papelaria,PJ - Pequeno                                 ,PJ - Cheque especial e conta garantida,Sem destinação específica,Flutuantes,<= 15,26123.43,0.0,0.0,0.0,0.0,0.0,0.0,26123.43,0.0,0.0
2023-01-31,MG,Bancário,S3,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,PJ - Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente,PJ - Pequeno                                 ,PJ - Capital de giro,Sem destinação específica,Flutuantes,<= 15,114466.61,237641.36,381523.24,49422.27,0.0,0.0,0.0,783053.48,0.0,0.0
2023-01-31,MS,Bancário,S1,PJ,-,PJ - Indústrias de transformação,PJ - Fabricação de cervejas e chopes,PJ - Pequeno                                 ,PJ - Outros créditos,Sem destinação específica,Prefixado,<= 15,18169.28,11766.32,239.2,0.0,0.0,0.0,0.0,30174.8,0.0,0.0
2023-01-31,RO,Cooperativas,S5,PJ,-,PJ - Outras atividades de serviços,PJ - Serviços de funerárias,PJ - Pequeno                                 ,PJ - Cheque especial e conta garantida,Sem destinação específica,Prefixado,<= 15,7571.44,59997.18,0.0,0.0,0.0,0.0,0.0,67568.62,0.0,3.07
2023-01-31,PA,Bancário,S1,PJ,-,PJ - Indústrias de transformação,"PJ - Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda",PJ - Pequeno                                 ,PJ - Outros créditos,Sem destinação específica,Prefixado,55,187685.54,47403.81,8955.75,0.0,0.0,0.0,108791.67,352836.77,55555.43,95196.97
2023-01-31,ES,Bancário,S3,PJ,-,PJ - Indústrias de transformação,PJ - Fabricação de outros produtos de metal não especificados anteriormente,PJ - Micro                                   ,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Com destinação específica,Prefixado,<= 15,1718.79,4797.46,7290.5,0.0,0.0,0.0,0.0,13806.75,0.0,0.0
2023-01-31,RS,Cooperativas,S5,PJ,-,PJ - Construção,PJ - Construção de barragens e represas para geração de energia elétrica,PJ - Médio                                   ,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Com destinação específica,Prefixado,<= 15,173538.78,505816.29,843333.25,5000.0,0.0,0.0,0.0,1527688.32,0.0,0.0
2023-01-31,RS,Bancário,S1,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,PJ - Comércio por atacado de peças e acessórios novos para veículos automotores,PJ - Médio                                   ,PJ - Investimento,Sem destinação específica,Pós-fixado,<= 15,0.0,44707.15,95931.42,95931.42,191862.8,0.0,0.0,428432.79,0.0,428432.79
2023-01-31,BA,Bancário,S1,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,PJ - Comércio varejista de materiais de construção não especificados anteriormente,PJ - Micro                                   ,PJ - Capital de giro,Sem destinação específica,Prefixado,60,268119.89,592428.46,918250.45,232224.59,5847.35,0.0,103255.95,2120126.69,171382.12,667840.98
2023-01-31,MS,Não bancário,,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,PJ - Comércio atacadista de produtos alimentícios em geral,PJ - Pequeno                                 ,PJ - Outros créditos,Sem destinação específica,Prefixado,<= 15,789.23,0.0,0.0,0.0,0.0,0.0,0.0,789.23,0.0,0.0
2023-01-31,MG,Bancário,S3,PJ,-,PJ - Outras atividades de serviços,PJ - Outras atividades de serviços pessoais não especificadas anteriormente,PJ - Micro                                   ,PJ - Investimento,Sem destinação específica,Prefixado,<= 15,11230.91,32675.64,25067.59,16524.37,4384.97,0.0,0.0,89883.48,0.0,0.0
2023-01-31,RS,Bancário,S4,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,PJ - Comércio varejista especializado de equipamentos de telefonia e comunicação,PJ - Médio                                   ,PJ - Capital de giro,Sem destinação específica,Flutuantes,<= 15,296777.28,0.0,0.0,0.0,0.0,0.0,0.0,296777.28,0.0,0.0
2023-01-31,GO,Cooperativas,S4,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,PJ - Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico,PJ - Pequeno                                 ,PJ - Cheque especial e conta garantida,Sem destinação específica,Prefixado,<= 15,6305.58,0.0,0.0,0.0,0.0,0.0,0.0,6305.58,0.0,6305.58
2023-01-31,SP,Cooperativas,S4,PJ,-,"PJ - Atividades financeiras, de seguros e serviços relacionados","PJ - Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente",PJ - Pequeno                                 ,PJ - Outros créditos,Sem destinação específica,Prefixado,<= 15,5590.76,2151.03,0.0,0.0,0.0,0.0,0.0,7741.79,0.0,0.0
2023-01-31,PR,Bancário,S3,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,PJ - Serviços de lanternagem ou funilaria e pintura de veículos automotores,PJ - Pequeno                                 ,PJ - Investimento,Sem destinação específica,Flutuantes,<= 15,979.65,2367.75,3217.09,0.0,0.0,0.0,0.0,6564.49,0.0,0.0
2023-01-31,PR,Não bancário,S4,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,"PJ - Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes",PJ - Micro                                   ,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Com destinação específica,Prefixado,<= 15,8656.96,26539.58,12308.6,0.0,0.0,0.0,2801.45,50306.59,0.0,38029.9
2023-01-31,DF,Bancário,S1,PJ,-,PJ - Indústrias de transformação,"PJ - Fabricação de artigos de serralheria, exceto esquadrias",PJ - Pequeno                                 ,PJ - Investimento,Sem destinação específica,Prefixado,<= 15,30735.32,86941.18,194382.66,35762.46,0.0,0.0,0.0,347821.62,0.0,0.0
2023-01-31,SC,Cooperativas,S3,PJ,-,PJ - Indústrias de transformação,PJ - Fabricação de artefatos de cimento para uso na construção,PJ - Pequeno                                 ,PJ - Outros créditos,Sem destinação específica,Prefixado,<= 15,8920.4,7747.76,0.0,0.0,0.0,0.0,14028.52,30696.68,11505.76,30696.68
2023-01-31,PI,Não bancário,S4,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,PJ - Serviços de manutenção e reparação mecânica de veículos automotores,PJ - Pequeno                                 ,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Com destinação específica,Flutuantes,<= 15,9406.26,28218.78,75250.08,43896.09,0.0,0.0,47847.95,204619.16,180414.8,204619.16
2023-01-31,GO,Cooperativas,S4,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,PJ - Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente,PJ - Pequeno                                 ,PJ - Capital de giro,Sem destinação específica,Prefixado,<= 15,18185.79,38866.56,14562.03,0.0,0.0,0.0,2604.04,74218.42,0.0,23158.99
2023-01-31,RN,Bancário,S3,PJ,-,PJ - Atividades administrativas e serviços complementares,PJ - Atividades de vigilância e segurança privada,PJ - Pequeno                                 ,PJ - Cheque especial e conta garantida,Sem destinação específica,Prefixado,<= 15,0.0,0.0,0.0,0.0,0.0,0.0,5398.52,5398.52,0.0,0.0
2023-01-31,PE,Bancário,S1,PJ,-,PJ - Indústrias de transformação,PJ - Fabricação de cimento,PJ - Médio                                   ,PJ - Outros créditos,Sem destinação específica,Prefixado,<= 15,10276.63,0.0,0.0,0.0,0.0,0.0,0.0,10276.63,0.0,0.0
2023-01-31,MS,Bancário,S1,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,"PJ - Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens",PJ - Médio                                   ,PJ - Capital de giro,Sem destinação específica,Flutuantes,<= 15,9946.8,16865.13,0.0,0.0,0.0,0.0,0.0,26811.93,0.0,0.0
2023-01-31,PE,Não bancário,S5,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,PJ - Comércio varejista de outros produtos não especificados anteriormente,PJ - Micro                                   ,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Com destinação específica,Prefixado,<= 15,2051.47,5400.93,0.0,0.0,0.0,0.0,3717.24,11169.64,5750.33,8800.07
2023-01-31,MS,Cooperativas,S4,PJ,-,"PJ - Artes, cultura, esporte e recreação",PJ - Produção teatral,PJ - Micro                                   ,PJ - Outros créditos,Sem destinação específica,Prefixado,<= 15,1671.36,2785.58,0.0,0.0,0.0,0.0,0.0,4456.94,0.0,0.0
2023-01-31,RJ,Bancário,S1,PJ,-,PJ - Indústrias de transformação,"PJ - Confecção de roupas profissionais, exceto sob medida",PJ - Pequeno                                 ,PJ - Outros créditos,Sem destinação específica,Pós-fixado,<= 15,4615.17,10802.0,27437.71,11563.17,3275.61,0.0,4137.46,61831.12,32507.36,61179.93
2023-01-31,GO,Cooperativas,S5,PJ,-,PJ - Atividades administrativas e serviços complementares,PJ - Locação de mão-de-obra temporária,PJ - Pequeno                                 ,PJ - Operações com recebíveis,Sem destinação específica,Prefixado,<= 15,4761.59,0.0,0.0,0.0,0.0,0.0,0.0,4761.59,0.0,0.0
2023-01-31,MT,Cooperativas,S4,PJ,-,PJ - Construção,PJ - Outras obras de instalações em construções não especificadas anteriormente,PJ - Micro                                   ,PJ - Cheque especial e conta garantida,Sem destinação específica,Prefixado,<= 15,7059.16,0.0,0.0,0.0,0.0,0.0,0.0,7059.16,0.0,0.0
2023-01-31,SP,Bancário,S4,PJ,-,PJ - Informação e comunicação,PJ - Serviços de comunicação multimídia - SCM,PJ - Pequeno                                 ,PJ - Investimento,Sem destinação específica,Prefixado,<= 15,33330.74,87003.68,185370.6,5356.26,0.0,0.0,0.0,311061.28,0.0,0.0
2023-01-31,BA,Bancário,S3,PF,PF - Empregado de empresa privada,-,-,PF - Mais de 2 a 3 salários mínimos          ,PF - Rural e agroindustrial,Com destinação específica,Prefixado,<= 15,0.0,19751.9,33485.68,20914.38,0.0,0.0,0.0,74151.96,0.0,0.0
2023-01-31,SP,Bancário,S1,PJ,-,PJ - Indústrias de transformação,"PJ - Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis",PJ - Pequeno                                 ,PJ - Operações com recebíveis,Sem destinação específica,Prefixado,26,105250.58,72913.57,0.0,0.0,0.0,0.0,0.0,178164.15,0.0,0.0
2023-01-31,RN,Bancário,S1,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,PJ - Comércio varejista de artigos médicos e ortopédicos,PJ - Micro                                   ,PJ - Capital de giro,Sem destinação específica,Prefixado,<= 15,23236.99,52812.87,93829.84,23824.64,0.0,0.0,584.72,194289.06,0.0,129577.72
2023-01-31,SC,Bancário,S1,PJ,-,PJ - Indústrias de transformação,"PJ - Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação",PJ - Micro                                   ,PJ - Investimento,Sem destinação específica,Prefixado,<= 15,21903.96,59066.52,38827.22,17622.65,0.0,0.0,0.0,137420.35,0.0,0.0
2023-01-31,MA,Cooperativas,S5,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,PJ - Comércio varejista especializado de equipamentos de telefonia e comunicação,PJ - Pequeno                                 ,PJ - Outros créditos,Sem destinação específica,Prefixado,<= 15,6744.14,9340.56,8989.49,0.0,0.0,0.0,15689.2,40763.39,15573.63,35350.54
2023-01-31,PB,Cooperativas,S5,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,"PJ - Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",PJ - Micro                                   ,PJ - Financiamento de infraestrutura/desenvolvimento/projeto e outros créditos,Com destinação específica,Prefixado,<= 15,10455.16,21113.51,23082.04,0.0,0.0,0.0,3121.1,57771.81,10949.85,13947.08
2023-01-31,AM,Bancário,S1,PJ,-,PJ - Atividades imobiliárias,PJ - Corretagem no aluguel de imóveis,PJ - Micro                                   ,PJ - Outros créditos,Sem destinação específica,Prefixado,<= 15,6033.84,3123.25,0.0,0.0,0.0,0.0,0.0,9157.09,0.0,4282.19
2023-01-31,PB,Bancário,S1,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,"PJ - Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas",PJ - Micro                                   ,PJ - Outros créditos,Sem destinação específica,Prefixado,<= 15,131.22,0.0,0.0,0.0,0.0,0.0,0.0,131.22,0.0,0.0
2023-01-31,RS,Cooperativas,S5,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,PJ - Comércio atacadista de animais vivos,PJ - Micro                                   ,PJ - Cheque especial e conta garantida,Sem destinação específica,Prefixado,<= 15,4535.89,0.0,0.0,0.0,0.0,0.0,0.0,4535.89,0.0,0.0
2023-01-31,SP,Bancário,S1,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,PJ - Comércio atacadista de cosméticos e produtos de perfumaria,PJ - Grande                                  ,PJ - Operações com recebíveis,Sem destinação específica,Prefixado,1598,78125259.28,31341069.28,176916.58,0.0,0.0,0.0,0.0,109643245.14,0.0,0.0
2023-01-31,PR,Cooperativas,S3,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,PJ - Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,PJ - Médio                                   ,PJ - Cheque especial e conta garantida,Sem destinação específica,Pós-fixado,<= 15,0.0,19978.1,0.0,0.0,0.0,0.0,0.0,19978.1,0.0,0.0
2023-01-31,PA,Bancário,S1,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,PJ - Comércio varejista de artigos de papelaria,PJ - Médio                                   ,PJ - Operações com recebíveis,Sem destinação específica,Prefixado,<= 15,3048.3,65.11,0.0,0.0,0.0,0.0,0.0,3113.41,0.0,0.0
2023-01-31,MS,Bancário,S2,PJ,-,"PJ - Atividades profissionais, científicas e técnicas",PJ - Filmagem de festas e eventos,PJ - Micro                                   ,PJ - Outros créditos,Sem destinação específica,Prefixado,<= 15,8.88,0.0,0.0,0.0,0.0,0.0,0.0,8.88,0.0,0.0
2023-01-31,PB,Bancário,S1,PJ,-,PJ - Indústrias de transformação,-,PJ - Micro                                   ,PJ - Cheque especial e conta garantida,Sem destinação específica,Prefixado,<= 15,14046.02,1751.9,0.0,0.0,0.0,0.0,4037.48,19835.4,1497.07,4368.44
2023-01-31,SP,Cooperativas,S4,PJ,-,PJ - Indústrias de transformação,PJ - Fabricação de equipamentos para sinalização e alarme,PJ - Pequeno                                 ,PJ - Outros créditos,Sem destinação específica,Prefixado,<= 15,3060.9,6121.79,0.0,0.0,0.0,0.0,0.0,9182.69,0.0,9182.69
2023-01-31,GO,Cooperativas,S5,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,PJ - Comércio varejista de combustíveis para veículos automotores,PJ - Pequeno                                 ,PJ - Investimento,Sem destinação específica,Prefixado,<= 15,154865.13,452238.62,814194.24,63734.59,0.0,0.0,0.0,1485032.58,0.0,151087.95
2023-01-31,AM,Bancário,S2,PJ,-,PJ - Indústrias de transformação,PJ - Fabricação de resinas termoplásticas,PJ - Médio                                   ,PJ - Investimento,Sem destinação específica,Prefixado,<= 15,3181.93,7986.31,0.0,0.0,0.0,0.0,0.0,11168.24,0.0,0.0
2023-01-31,SC,Cooperativas,S5,PJ,-,PJ - Outras atividades de serviços,PJ - Reparação e manutenção de outros objetos e equipamentos pessoais e domésticos não especificados anteriormente,PJ - Micro                                   ,PJ - Cheque especial e conta garantida,Sem destinação específica,Pós-fixado,<= 15,5827.15,11777.94,0.0,0.0,0.0,0.0,0.0,17605.09,0.0,0.0
2023-01-31,MT,Cooperativas,S5,PJ,-,PJ - Informação e comunicação,PJ - Serviços de comunicação multimídia - SCM,PJ - Micro                                   ,PJ - Capital de giro,Sem destinação específica,Prefixado,<= 15,16482.22,51838.09,27856.74,0.0,0.0,0.0,0.0,96177.05,0.0,0.0
2023-01-31,GO,Bancário,S3,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,"PJ - Comercio varejista de artigos de cama, mesa e banho",PJ - Micro                                   ,PJ - Capital de giro,Sem destinação específica,Flutuantes,<= 15,0.0,4908.01,17122.16,8841.76,0.0,0.0,0.0,30871.93,0.0,0.0
2023-01-31,RN,Bancário,S1,PF,PF - Outros,-,-,PF - Mais de 3 a 5 salários mínimos          ,PF - Cartão de crédito,Sem destinação específica,Outros indexadores,224,75812.17,285015.78,17476.22,0.0,0.0,0.0,38319.61,416623.78,0.0,9857.07
2023-01-31,RJ,Cooperativas,S5,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,"PJ - Comércio a varejo de automóveis, camionetas e utilitários usados",PJ - Médio                                   ,PJ - Investimento,Sem destinação específica,Flutuantes,<= 15,3649882.42,10355961.51,12810454.87,0.0,0.0,0.0,0.0,26816298.8,0.0,0.0
2023-01-31,PR,Não bancário,S3,PJ,-,PJ - Informação e comunicação,PJ - Edição de livros,PJ - Pequeno                                 ,PJ - Outros créditos,Sem destinação específica,Prefixado,<= 15,4707.85,3127.68,0.0,0.0,0.0,0.0,0.0,7835.53,0.0,0.0
2023-01-31,BA,Bancário,S1,PJ,-,PJ - Comércio; reparação de veículos automotores e motocicletas,PJ - Comércio varejista de bebidas,PJ - Micro                                   ,PJ - Outros créditos,Sem destinação específica,Prefixado,2644,2531045.93,981619.17,654240.22,205282.03,66663.7,0.0,1248657.07,5687508.12,1051827.76,2197398.51
2023-01-31,SP,Cooperativas,S3,PJ,-,PJ - Atividades administrativas e serviços complementares,PJ - Atividades paisagísticas,PJ - Pequeno                                 ,PJ - Capital de giro,Sem destinação específica,Flutuantes,<= 15,12647.87,33533.01,60162.87,0.0,0.0,0.0,0.0,106343.75,0.0,0.0
2023-01-31,BA,Bancário,S1,PJ,-,PJ - Saúde humana e serviços sociais,PJ - Atividade médica ambulatorial restrita a consultas,PJ - Micro                                   ,PJ - Cheque especial e conta garantida,Sem destinação específica,Prefixado,178,437828.81,76244.01,5573.59,1961.77,0.0,0.0,21173.2,542781.38,14087.22,49325.78
2023-01-31,AC,Cooperativas,S5,PF,PF - Empresário,-,-,PF - Mais de 10 a 20 salários mínimos        ,PF - Cartão de crédito,Sem destinação específica,Prefixado,<= 15,16225.63,9927.58,992.46,0.0,0.0,0.0,0.0,27145.67,0.0,0.0
2023-01-31,PA,Cooperativas,S4,PJ,-,PJ - Saúde humana e serviços sociais,PJ - Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências,PJ - Médio                                   ,PJ - Outros créditos,Sem destinação específica,Prefixado,<= 15,102331.56,275420.87,734455.49,550841.52,0.0,0.0,0.0,1663049.44,0.0,0.0
2023-01-31,PE,Bancário,S1,PJ,-,PJ - Informação e comunicação,PJ - Edição de revistas,PJ - Micro                                   ,PJ - Outros créditos,Sem destinação específica,Prefixado,<= 15,3250.85,143.6,0.0,0.0,0.0,0.0,0.0,3394.45,0.0,0.0
2023-01-31,PA,Bancário,S1,PJ,-,"PJ - Atividades profissionais, científicas e técnicas",PJ - Serviços advocatícios,PJ - Médio                                   ,PJ - Outros créditos,Sem destinação específica,Prefixado,33,153227.58,78574.7,20115.58,0.0,0.0,0.0,28801.56,280719.42,28801.56,29721.92
