|Crop and animal production, hunting and related service activities|Forestry and logging|Fishing and aquaculture|Mining and quarrying|Manufacture of food products, beverages and tobacco products |Manufacture of textiles, wearing apparel and leather products|Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials|Manufacture of paper and paper products|Printing and reproduction of recorded media|Manufacture of coke and refined petroleum products|Manufacture of chemicals and chemical products|Manufacture of basic pharmaceutical products and pharmaceutical preparations|Manufacture of rubber and plastic products|Manufacture of other non-metallic mineral products|Manufacture of basic metals|Manufacture of fabricated metal products, except machinery and equipment|Manufacture of computer, electronic and optical products|Manufacture of electrical equipment|Manufacture of machinery and equipment n.e.c|Manufacture of motor vehicles, trailers and semi-trailers|Manufacture of other transport equipment|Manufacture of furniture; other manufacturing|Repair and installation of machinery and equipment|Electricity, gas, steam and air conditioning supply|Water collection, treatment and supply|Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services |Construction|Wholesale and retail trade and repair of motor vehicles and motorcycles|Wholesale trade, except of motor vehicles and motorcycles|Retail trade, except of motor vehicles and motorcycles|Land transport and transport via pipelines|Water transport|Air transport|Warehousing and support activities for transportation|Postal and courier activities|Accommodation; food and beverage service activities|Publishing activities|Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities|Telecommunications|Computer programming, consultancy and related activities; information service activities|Financial service activities, except insurance and pension funding|Insurance, reinsurance and pension funding, except compulsory social security|Activities auxiliary to financial services and insurance activities|Real estate activities|Imputed rents of owner-occupied dwellings|Legal and accounting activities; activities of head offices; management consultancy activities|Architectural and engineering activities; technical testing and analysis|Scientific research and development|Advertising and market research|Other professional, scientific and technical activities; veterinary activities|Rental and leasing activities|Employment activities|Travel agency, tour operator reservation service and related activities|Security and investigation activities; services to buildings and landscape activities; office administrative, office support and other business support activities|Public administration and defence; compulsory social security|Education|Human health activities|Social work activities|Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities|Sports activities and amusement and recreation activities|Activities of membership organisations|Repair of computers and personal and household goods|Other personal service activities|Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use|Activities of extra-territorial organisations and bodies|Total output|Total imports  (1)|Intra EU imports|Extra EU imports|Total supply at basic prices|Trade margins|Transport margins|Taxes less subsidies on products|Total supply at purchasers' prices
11. Chemicals and chemical products|0|0|0|93.9|415.6|217.5|12.1|74.8|0|1181.8|33891.3|588.3|93.5|783.5|187.5|0|0|0|0|0|0|33.5|0|0|0|0|0|0|82|0|0.4|0|0|0|0|0|1.9|0|0|0|0|0|0|0|0|0|0|0|0|1.1|0|0|0|111.3|0|0|0|0|0|0|0|0|19.9|0|0|37789.9|28288.3|19453.1|8835.2|66078.2|20159.1|310.9|2514.3|89062.5
12 .Basic pharmaceutical products and pharmaceutical preparations|0|0|0|0|35.1|29.5|0|0|0|0|314.9|13803.1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|280.4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|53.1|0|0|0|0|0|0|0|0|14516.1|17413.2|9694.7|7718.5|31929.3|15305.5|45.9|912.2|48192.9
13 .Rubber and plastics products|0|0|0|0|0|154.4|38|17.6|107.2|0|379.7|0|17902.2|175.7|14.6|377.5|9.6|81.1|132.4|902.3|17.9|101.2|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0.4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|20416.8|9801|7209.8|2591.2|30217.8|10212.1|135.6|740.9|41306.4
14 .Other non-metallic mineral products|0|0|0|3.2|0|0|0|0|0|0|82.6|0|14.8|17390.8|0|32.1|0|7.4|0|43.7|0|16|0|0|0|0|114.4|0|70.7|0|55.2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|17830.9|3153.4|2147.9|1005.5|20984.3|7551|977.2|251.2|29763.7
15. Basic metals|0|0|0|0|0|0|0|0|0|0|0|0|201.9|0|27477.7|1500.9|0|0|147.2|360.3|0|0|9.4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|29697.4|14266.5|8865.5|5401|43963.9|9462.3|278|112.8|53817
16 .Fabricated metal products, except machinery and equipment|0|0|0|0|0|28|58.8|0|10.2|0|26.8|0|236.8|79.5|869.2|31167.7|37.4|182|854.5|1321.1|632.4|137|404.7|0|0|0|15.7|0|9|0|0.2|0|0|0|3.1|0|0.2|0|0|0|0|0|0|0|0|0|0|0|0|0|51.6|0|0|0|0|0|0|0|0|0|120.8|0|2.1|0|0|36248.8|7654.4|5166.7|2487.7|43903.2|16303.5|105.2|472.2|60784.1
17 .Computer, electronic and optical products|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|79|3228.2|220|65.6|32.9|0|14.3|17|16.3|0|0|0|0|1.1|0|0.1|0|0|0|0|0|1.1|0|0|401.3|0|0|0|0|0|203.3|0|0|0|3.1|64.1|0|0|45|0|0|0|0|0|0|0|19.7|0|0|0|4412.1|23173.7|12784.5|10389.2|27585.8|10825.8|99.3|1673.4|40184.3
18 .Electrical equipment|0|0|0|0|0|0|0|0|5.4|0|0|0|125.3|356.2|6.1|429.8|549.7|14629.5|235.1|252.3|55.4|4.6|33.8|210.7|0|0|389|0|182.3|2.4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.6|0|0|17468.2|14137.8|8746.8|5391|31606|11297.9|126.6|1338.6|44369.1
19. Machinery and equipment n.e.c.|0|0|0|21.3|194.6|26.4|10.4|13.7|30.4|23.5|85.8|28.6|242.3|65.8|297.5|1755.8|141.4|985|16824.8|1502.5|161.1|99.7|720.3|117.4|29.4|26.6|213.8|0|2.6|6|0|0|0|71.3|0|0|1.3|0|19.3|0|0|0|0|0|0|0|226.4|0|0|0|423.1|0|0|0|0|0|0|0|0|0|0|0|18|0|0|24386.1|21168.9|15229.2|5939.7|45555|10954.2|66|448|57023.2
20. Motor vehicles, trailers and semi-trailers|0|0|0|0|0|28.7|0|0|0|0|0|0|150.5|0|0|217.9|215.5|221.6|310.5|56996.9|13.6|0|8.1|29.1|0|0|0|2483|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0.3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|60676.7|44205.2|35319.5|8885.7|104881.9|9611|235.1|4689.6|119417.6
21. Other transport equipment|0|0|0|0|0|0|0|0|0|0|0|0|5.1|0|0|63.2|77.3|0|3.8|71|13106|4|45.2|0|0|0|0|0|0|0|56.9|19.9|47.6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1.8|2.4|0|0|0|0|13505.2|6751.1|3313.2|3437.9|20256.3|3592.4|22.9|396.1|24267.7
22. Furniture; other manufactured goods|0|0|0|0|0|255.1|505.2|6.2|79.4|0|101.1|73.5|336.7|35.4|2.6|315.9|232.6|24|82.8|0.5|6.9|9882.3|3.2|0|0|0|6.6|0|93.4|0|0.1|0|0|68.5|0|0|9.3|0|0|0|0|0|0|0|0|0|0|0|0|0.2|0|0.3|0|3.6|211.7|0|1.7|0|0|0|2.4|0|0|0|0|12341.2|11720.3|6752.5|4967.8|24061.5|13308.9|233.5|3017|40620.9
23. Repair and installation services of machinery and equipment|15|14.9|24.1|21.3|196.2|37.7|15.6|13.6|4.4|23.4|81.6|28.6|83.5|86.4|99.8|1221.6|279.1|494.8|2298.7|180.2|2154.9|56.6|12011.3|104.7|29.5|26.6|304.3|0|439.2|102|355.2|22.2|1159.7|164.5|0|0|0|0|0|0|0|0|0|0|0|11.6|0|0|0|0|371.7|0|0|0|0|0|0|0|0|54.6|0|0|6.6|0|0|22595.7|276.7|179.3|97.4|22872.4|0|0|496.3|23368.7
24 .Electricity, gas, steam and air conditioning|0|0.1|0|0.5|298.9|13.9|80.9|165.5|2.3|0|224.1|0.1|45.8|119.2|117.1|7.6|0|1.9|12.4|10|0|1.6|7.9|64371.1|13.6|51.9|257.3|0|159.4|13.6|1.7|0|0|0|0|0|0|0|0|0|0|0|0|34.5|0|33.4|0|0|0|0|0|0|0|0|96.6|0|0|0|7.2|0|2.4|0|0|0|0|66152.5|2702.8|2180.5|522.3|68855.3|6|1.9|4030.8|72894
25. Natural water; water treatment and supply services|5.4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9469|285.7|11.6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|148.3|0|0|0|0|0|0|0|0|0|0|9920|186.1|122.3|63.8|10106.1|0|0|395.6|10501.7
26. Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services |0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|175.8|19880.2|137.9|0|267.9|0|1.6|0|0|1.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|99.5|0|0|0|0|0|14.5|0|0|0|0|20578.9|2550.8|2468.3|82.5|23129.7|547.2|312|94.5|24083.4
27. Constructions and construction works|11|0|0|63.3|12.3|70|1.6|4|68.5|5.6|24.9|8.1|8.3|60.9|21.3|29.8|19.2|86.6|14.2|5|7|16|39.5|91.8|19|10.8|152027.7|0|67.4|52.8|0.2|2.4|0|19.3|0|39.4|37.8|18|15.7|88.6|0|0|0|20.7|0|10.7|113.6|4.4|73.7|114.8|1.8|2.6|0|209.2|3635.7|6.8|8.9|1.2|3.6|13.6|174.5|0.2|55.4|0|0|157519.4|240.1|119.7|120.4|157759.5|0|0|7815|165574.5
28. Wholesale and retail trade and repair services of motor vehicles and motorcycles|7.2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|33.8|29974.3|145.9|697|4.9|0|0|49.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|265.7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|31178.3|0|0|0|31178.3|-13260.7|0|2817|20734.6
29. Wholesale trade services, except of motor vehicles and motorcycles|1409.5|0|0|14.6|1615.5|112|28.8|102.5|0|7.2|971.5|493.2|550.4|375.5|87.3|253.2|48.5|253.4|180.7|860.8|15.6|278.2|20.8|0|611.4|80.2|65.2|350.1|118337.8|308.7|0|0|0|170.8|0|0|136.9|0|0|8.2|0|0|0|0|0|0|0|16.2|0|0|174.3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|127939|1797|1185.4|611.6|129736|-119595.4|0|27.2|10167.8
30. Retail trade services, except of motor vehicles and motorcycles|112.1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|32.5|21.8|513.7|81663.6|112.6|13.1|1.5|135.1|7.8|540.7|0|645.9|1854.1|0|0|0|0|0|0|652.5|265.8|0|0|157.1|38.4|0|0|303.4|0|30.9|1435.8|124.5|2418|890.2|335.6|0|263.8|0|0|92570.5|0|0|0|92570.5|-92570.5|0|0|0
31. Land transport services and transport services via pipelines|47.6|0|0|10.3|0|0|0|0|0|525.7|0|0|0|0|0|0|0|0|0|0|0|0|0|275.2|0|0|173.3|0|568.8|119.7|52746.1|0|0|335.2|131.1|0|0|0|2.7|0|0|0|0|0|0|0|0|0|0|0|90.3|0|0|0|1052.7|64.1|0|0|0|0|0|0|0|0|0|56142.8|2016.3|1732.1|284.2|58159.1|0|-6658.7|-1865.8|49634.6
32. Water transport services|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10.7|0|2355.9|0|19.3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3.7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2389.6|32.1|9.4|22.7|2421.7|0|-417.2|-8.7|1995.8
33. Air transport services|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|11461.6|0|6.7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|11468.3|987.2|622.7|364.5|12455.5|0|-157.6|59.3|12357.2
34. Warehousing and support services for transportation|5.1|0|0|15.2|0|0|0|0|0|36.3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|143.2|59.7|409.6|99.5|548.7|63.1|530.6|47281|89.5|3.1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|12|7905.5|0|0|0|0|0|17.2|0|0|0|0|57219.3|2448.6|1694.4|754.2|59667.9|0|0|779|60446.9
35. Postal and courier services|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|18.7|31.6|773|0|9.9|0.7|5208.4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6042.3|65.6|39.5|26.1|6107.9|0|0|-38|6069.9
36. Accommodation and food services|58.6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.7|0|345|0|63.4|576.9|0.3|59.5|0|70.2|0|122151.8|0|1.4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|22.5|456.7|0|0|321.7|1.3|138.9|0|0|0|0|124268.9|3574.3|2221|1353.3|127843.2|0|0|8155.6|135998.8
37. Publishing services|0|0|0|0|0|0|0|45.2|75.1|0.1|0|0|0|0|0|0|0|0|0|0|0|0|0|4.3|0.1|1.1|0|0|10.1|0|0|0|0|0|0|0|5052|0.5|0.1|475.4|5.3|3.1|0|0|0|1990.7|0|0|0|31.8|4.7|3.2|0|153.8|10.9|0|0.3|0|0|0|397.5|1.8|0.5|0|0|8267.6|2828.8|2157.3|671.5|11096.4|1985.7|12.2|368.3|13462.6
38. Motion picture, video and television programme production services, sound recording and music publishing; programming and broadcasting services|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|20.8|0.1|0|0|0|0|0|0|11958.4|0|0|0|0|0|0|0|0|0|0|66.3|0|0.8|0|0|0|2.9|12.7|0|0|0|0|7.3|0|0|0|0|12069.3|3162.2|2478|684.2|15231.5|1254.1|0.2|390.5|16876.3
39. Telecommunications services|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|28.3|13.6|0|0|0|210.2|0|680.4|1.7|0|28109|154.4|0|0|0|0|0|0|0|0|0|0|0|0|404|0|750.2|0|0|0|0|0|0|23.8|0|0|0|30375.6|1710.9|1198.5|512.4|32086.5|0|0|3448.1|35534.6
40. Computer programming, consultancy and related services; information services|1.6|0|0|3.7|16.3|7|1.5|0.7|2.6|4.2|28.1|26.7|0|10.6|5.3|1.1|32|4|20.4|20.7|22.7|0|1.7|11.3|0.1|0|4.1|0.9|37.2|61.7|10.5|0|2.7|24.7|16.9|17.7|99.6|34|149.8|38702.9|80.8|13.3|6|8.8|0|33.3|83.8|38.6|33.7|6.7|96.2|13.8|35.3|300.5|657.5|134.6|13.2|0|68.7|0|22.5|226.5|0.8|0|0|41259.6|4584.4|3706.9|877.5|45844|0|0|707.3|46551.3
41. Financial services, except insurance and pension funding|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|104.9|0|40049.2|0|0|0|0|0.4|0|0|0|0|0|0|0|0|564.9|0|0|0|0|0|0|0|0|0|0|40719.4|2410.6|1443|967.6|43130|0|0|695.2|43825.2
42. Insurance, reinsurance and pension funding services, except compulsory social security|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|182.1|16808.7|0|0|0|0|0|0|0|0|0|0|0|0|146.3|0|0|0|0|0|0|0|0|0|0|17137.1|914.7|727.2|187.5|18051.8|0|0|1666.1|19717.9
43. Services auxiliary to financial services and insurance services|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|105.5|19.8|0|0|0|0|0|0|0|0|0|0|5188.2|139|11361.8|0|0|0.3|0|0|0|0|0|0|0|0|24.5|0|0|0|0|0|0|0|0|0|0|16839.1|893.7|414.3|479.4|17732.8|0|0|457.9|18190.7
44. Real estate services|75|0|15|8.9|155.6|27.1|7.5|4.6|4.5|5.3|20.1|2.1|28.9|41.1|9.8|48.1|12.7|14.1|20.8|41.9|1.8|13.7|23.1|15.7|0.7|10.2|6138.9|183.9|695.7|445.8|101.7|4.8|20.5|150.6|3.1|847.3|7.4|64.5|29.2|15.5|313.3|383.9|0|56972.5|0|132|55.1|2.6|37.7|19.1|4.4|2.5|5.4|36.1|351.2|32.6|65.2|202.2|46.6|106.2|234.5|2.4|15.7|0|0|68338.4|2000.3|1296.1|704.2|70338.7|0|0|1606|71944.7
45. Imputed rents of owner-occupied dwellings|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|92563|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|92563|0|0|0|92563|0|0|0|92563
46. Legal and accounting services; services of head offices; management consulting services|32.9|0|0|0|0|0|0|0|0|146.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8.1|0|202.2|6.5|0.3|0|0|481.2|0|0|9.8|0|40.6|102.5|269.3|392.9|0|0|0|42852.5|428.5|5.6|173.5|0|0|0|0|0|509.2|0|0|1.2|0|0|190.5|3.1|0|0|0|45856.9|3247.9|2344.8|903.1|49104.8|0|0|10547.2|59652
47. Architectural and engineering services; technical testing and analysis services|5.1|0|0|48.2|23.2|0|0|0|0|14.3|0|0|0|0|0|0|0|0|0|0|299.4|0|97.7|918.5|38.6|0|167.8|0|716.7|1.8|0.5|0|0|76.9|0|0|0|0|116.3|0|0|0|0|282.6|0|0|25482.6|22.2|0|0|0|0|0|0|594.1|0|0|0|0|0|31.5|0|0|0|0|28938|1320.3|849|471.3|30258.3|0|0.2|612.3|30870.8
48. Scientific research and development services|90.1|1.7|5.5|10.6|261.3|82.8|12.9|16.3|18.2|63.7|284.5|796.3|91.7|52.3|64.3|141.1|195|188.7|263.4|508.9|662.8|80.4|18.5|104.1|20.8|37.3|101.4|10.9|323.7|30.7|11|0.4|31.7|29.1|1.6|6.3|38|10.4|131.4|802.8|68.1|31.1|13.7|11.9|0|144.6|502.1|8016.6|35.5|33.3|12.6|3.2|16|33.1|113.2|4037.3|753.8|14.8|4.7|15|8.8|0.7|0.4|0|0|19473.1|583.3|321.2|262.1|20056.4|0|0|52|20108.4
49. Advertising and market research services|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|26.7|45.5|13.5|0|0|373.8|0|0|289.4|714.3|316.8|0|0|0|0|238.5|0|552|0|1.2|13644.7|150.4|0|32.2|0|1266.8|3.9|0|0|0|0|153.2|4.9|0|0|0|0|17827.8|1515.3|1173.6|341.7|19343.1|0|0|596.1|19939.2
50. Other professional, scientific and technical services; veterinary services|0|0|0|0.7|1487.5|81.9|64|53.4|13.9|0|745.3|73.3|135.5|171.1|555.9|116.7|59.4|163.2|216.6|969.3|59.4|95|66.2|112|16.1|0|2.8|0|52.6|54.6|0.3|0|0|0.6|0|33.5|0|0.2|0|0|0|0|60.5|0|0|0|0|2.5|99.7|8901.3|0|0|35.5|0|140.5|0|0|0|0|0|26.5|0|0|0|0|14667.5|1174.7|869.1|305.6|15842.2|152.1|0.2|530.4|16524.9
51. Rental and leasing services|3.5|0|87.6|4.1|49.6|8.7|3.1|4.9|2.6|10.6|26.3|5.4|13.1|17.4|10.2|15.5|3.3|12.4|12|40.8|13|4.7|6.3|91.3|22.8|8.7|843.5|19.4|100|12|84.4|1.2|11.2|77.8|0.7|31.2|20.5|27.4|4.2|41.1|0|0|0|68.7|0|288.6|5.1|84.5|3.4|1.7|14485.6|0.4|0.9|69.2|0|0|1.5|0.8|20.4|4.1|0|10.9|66.4|0|0|16864.7|2518|1865.8|652.2|19382.7|0|0|630.6|20013.3
52. Employment services|0|0|0|0.5|0|0|0|0|0|0.1|0|0|0|0|0|0|0|0|0|0|0|0|0|79.8|13.1|0|0|0|0|0|0.1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7060.1|0|0|3.9|0|0|0|0|0|0|0|0|0|0|7157.6|387.9|251.4|136.5|7545.5|0|0|45.7|7591.2
