	Products of agriculture, hunting and related services	Products of forestry, logging and related services	Fish and other fishing products; aquaculture products; support services to fishing	Mining and quarrying	Food products; beverages; tobacco products 	Textiles; wearing apparel; leather and related products	Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials	Paper and paper products	Printing and recording services	Coke and refined petroleum products	Chemicals and chemical products	Basic pharmaceutical products and pharmaceutical preparations	Rubber and plastics products	Other non-metallic mineral products	Basic metals	Fabricated metal products, except machinery and equipment	Computer, electronic and optical products	Electrical equipment	Machinery and equipment n.e.c.	Motor vehicles, trailers and semi-trailers	Other transport equipment	Furniture; other manufactured goods	Repair and installation services of machinery and equipment	Electricity, gas, steam and air conditioning	Natural water; water treatment and supply services	Sewerage services; sewage sludge; waste collection, treatment and disposal services; materials recovery services; remediation services and other waste management services 	Constructions and construction works	Wholesale and retail trade and repair services of motor vehicles and motorcycles	Wholesale trade services, except of motor vehicles and motorcycles	Retail trade services, except of motor vehicles and motorcycles	Land transport services and transport services via pipelines	Water transport services	Air transport services	Warehousing and support services for transportation	Postal and courier services	Accommodation and food services	Publishing services	Motion picture, video and television programme production services, sound recording and music publishing; programming and broadcasting services	Telecommunications services	Computer programming, consultancy and related services; information services	Financial services, except insurance and pension funding	Insurance, reinsurance and pension funding services, except compulsory social security	Services auxiliary to financial services and insurance services	Real estate services	Imputed rents of owner-occupied dwellings	Legal and accounting services; services of head offices; management consulting services	Architectural and engineering services; technical testing and analysis services	Scientific research and development services	Advertising and market research services	Other professional, scientific and technical services; veterinary services	Rental and leasing services	Employment services	Travel agency, tour operator and other reservation services and related services	Security and investigation services; services to buildings and landscape; office administrative, office support and other business support services	Public administration and defence services; compulsory social security services	Education services	Human health services	Residential care services; social work services without accommodation	Creative, arts and entertainment services; library, archive, museum and other cultural services; gambling and betting services	Sporting services and amusement and recreation services	Services furnished by membership organisations	Repair services of computers and personal and household goods	Other personal services	Services of households as employers; undifferentiated goods and services produced by households for own use	Services provided by extraterritorial organisations and bodies
10. Coke and refined petroleum products	0.0193540597685365	0.0129712414026937	0.0768563695705458	0.0359569024921725	0.0148869791562017	0.00877103357925695	0.0296561928321548	0.0190817735352089	0.0119976833297001	1.07176926601901	0.0463843934970813	0.0111427164742747	0.0256685671846273	0.0234349477829859	0.0290002941760538	0.0158995904719937	0.00806951142342167	0.0199923430581343	0.0125960507558989	0.0155063593157722	0.0109634838953522	0.0140550807404604	0.0184074230213351	0.0648431988145183	0.0181562515844398	0.0253213619799838	0.0164675316690161	0.017921090050145	0.00936525371442501	0.0057584427836533	0.0764387357057194	0.0644655972630493	0.144975361045504	0.0176101071898352	0.0134295980408569	0.00674386271090911	0.00791375399581695	0.00670696541855753	0.0056564628593338	0.00478348034341779	0.00241337933976003	0.00264324464747677	0.00297174497569693	0.00299673017163947	0	0.00394312372605343	0.00956807985295726	0.00657515176572676	0.00515914964742829	0.00366608597818333	0.00779075091029014	0.00140214299976051	0.019420151465121	0.00382004251200545	0.00783973830481978	0.00561814663566107	0.00477857172101551	0.00542698000650485	0.00412134314519483	0.00566497277750736	0.00777172656108511	0.00677629490159461	0.00438553391916865	0	0
11. Chemicals and chemical products	0.0925002222362288	0.0120696583344163	0.0284460817133161	0.0641252716910303	0.0634438867604429	0.0622928905563922	0.120960905489292	0.122280584474773	0.0926032931091886	0.0575814381030676	1.46776137874609	0.184696170914253	0.238242500203077	0.132845398274859	0.0934231098357366	0.0715404572821679	0.0433431022088711	0.0768096979814633	0.044121790882813	0.103171828089601	0.0490326747944972	0.0689974579207281	0.0352966438350614	0.0620528103112367	0.131968935188451	0.0437891486598021	0.0609952288400942	0.0490439152873802	0.0253985735481956	0.00779781094042843	0.0171447385851729	0.0199168598478191	0.0268710820934505	0.022437089884213	0.0066018792801289	0.0231047267454174	0.0145380685405753	0.0323611523383116	0.0114233274848026	0.012410874547726	0.00625215924558455	0.00597480500286881	0.00853052713659749	0.00494171091287986	0	0.0145781104885894	0.0301354576498096	0.0306753406684411	0.0226749182100555	0.011272761518898	0.0149911118654273	0.00206214224053917	0.0163671158808477	0.00886626507965598	0.0104484971232901	0.00467632271672482	0.0478189073157793	0.0157631417916356	0.00827086403015689	0.00987001651270454	0.0104291814106503	0.0151466966823372	0.0164972593779983	0	0
12. Basic pharmaceutical products and pharmaceutical preparations	0.00459238438691567	0.000510290462660745	0.00209686728794226	0.00121729135947455	0.00457009734142121	0.00134214300270293	0.001767248094494	0.00165914141033457	0.00147761027156441	0.00118056524792193	0.00807094763335047	1.06757722412581	0.00224608307709557	0.00155020292489713	0.00161905362877614	0.00135790743324322	0.00125487966956662	0.00159619208561473	0.00133319247967554	0.00183830364318442	0.00203325620242906	0.00193152027795663	0.00128307694269364	0.00108296977345994	0.00141897265738544	0.00170405231051191	0.00105144152073748	0.00111544836913348	0.00639279119764612	0.000766263487970119	0.000692539043211516	0.000702122669213646	0.00105896115519133	0.00101014049744611	0.000651843265720994	0.00251463053144535	0.000892966286488188	0.00102297799075852	0.00132928057147007	0.00107158196744713	0.000393972936513117	0.00038621549600153	0.000573787752370789	0.000238499697915423	0	0.00110829003364644	0.00194948363500536	0.0064293787559557	0.0019853480537911	0.00411098652272152	0.000677780949944143	0.000232149132369205	0.00147616817325309	0.000484643665320187	0.00188604077269991	0.000480441150424121	0.0688794193266632	0.018194096615957	0.000929493505763762	0.00101947287576376	0.00394343787507233	0.000685006734144625	0.00262675574110629	0	0
13. Rubber and plastics products	0.0207717120791508	0.00312608579325066	0.0163847977495857	0.0161853649242032	0.0421390302425721	0.0275980875976041	0.0544042781964126	0.037110808459799	0.0633264304333909	0.0142245774635863	0.0546464500427658	0.0463518009716245	1.26979050420942	0.040465095048979	0.026186377497206	0.0190333930950928	0.0291279650515783	0.0692720428075832	0.0318294934265429	0.104900535277343	0.0307842344402318	0.0474701548342453	0.0168552682082539	0.0105829703326196	0.0114545246776111	0.0223588071970805	0.028156139218665	0.0566531155838308	0.0126076907465835	0.00481481032364467	0.00895971462959735	0.00841597993812715	0.0123800109130353	0.0138982761728258	0.00331907984860058	0.0223230576098402	0.00764349112232002	0.0106333695060069	0.00746424344916533	0.0078158588216424	0.00358381370303781	0.00354186870201509	0.00492251483812244	0.0022996920029703	0	0.00395381342037032	0.0216901789693951	0.0119228561909892	0.0231783995300802	0.00606770471948532	0.0165965164498422	0.001477462141572	0.0134659512459574	0.0104540648528443	0.00353545838448326	0.00230078173041342	0.00804936675678739	0.00460087578006679	0.00871101362921449	0.00935010289279315	0.00690027973194586	0.00754820784950937	0.0086400284557867	0	0
14. Other non-metallic mineral products	0.00701934054027473	0.00169600268290187	0.00668646325583036	0.0614386050813719	0.0191341076315291	0.00606865983192288	0.0234273655627142	0.00703253060386964	0.0149952477461619	0.0445758294506622	0.0235504655813749	0.0141844403356671	0.0149729192708404	1.13415170273171	0.0341519041501814	0.0155431049918142	0.00756404811731219	0.0284693807117667	0.0110663218073571	0.0272742964912503	0.0272617180227789	0.0197202010562014	0.0100247968342889	0.0142424931482147	0.00775198497921586	0.0113960238402372	0.0744118148375547	0.0180394553929178	0.00557842709740167	0.00298721588294416	0.00714075751360857	0.00710373548686217	0.012354941810144	0.00527521495419011	0.00314817188892883	0.00949981625862955	0.00263397639846923	0.00387567770694105	0.00371601153182822	0.00415014282625469	0.00166585671255795	0.00165864768954356	0.00210081244968117	0.00287933428162562	0	0.00244482336369502	0.00989495847505742	0.00467265822703817	0.00436403368142114	0.00241853628212702	0.00506988851726706	0.000627906564140197	0.00653964981167161	0.00710547201764639	0.00294418429635769	0.00182722406891077	0.00534917672011645	0.00341791201948225	0.00337508749416779	0.00324839211170173	0.0040708837741942	0.00327845637933798	0.00303545161373966	0	0
15. Basic metals	0.0125560588958655	0.00299105585504231	0.0151008685400377	0.0295534967837031	0.0146341052505155	0.0107862288781311	0.01840070386083	0.0171758696424881	0.0355188328616919	0.0292919279858493	0.0183828749459632	0.0149909208058223	0.0209665336110862	0.0260816329220177	1.31628988745472	0.375579125910163	0.0535252322868717	0.209066109629918	0.190808621401186	0.204162078530276	0.100024066352943	0.0712008225965093	0.0769920626960796	0.0304982311102612	0.0191748252671777	0.0271296543596246	0.0504526102749643	0.0264619715550797	0.0166357038284888	0.00496957260012263	0.0132808149842739	0.0207151567426865	0.0251737545443467	0.0185048459672573	0.00543904563631174	0.0104322191824538	0.00663274107218368	0.0140767853426959	0.0120536331510242	0.00891735345817317	0.00341470547660697	0.00327911859457338	0.00445281557096736	0.00380207715658057	0	0.00526048912090137	0.0441006270430388	0.0204630974025601	0.0127263326616927	0.00797489499988271	0.0185286475567767	0.0019536848998252	0.00947302578441429	0.00760496362413205	0.00510496626708618	0.00298188448263086	0.00520142778657275	0.00424058421236026	0.00517946220114412	0.00732377887799838	0.00449768174129465	0.0154411672399231	0.00527315085678781	0	0
16. Fabricated metal products, except machinery and equipment	0.0255121423682341	0.00270277512979589	0.0161229918385045	0.0270111295267542	0.0256758023318095	0.0174207897592843	0.0229947674353161	0.0190742661861115	0.0212387266944255	0.0260270705392358	0.0260946799273093	0.0168753786838149	0.0364210487213341	0.0218999519075723	0.1388573049893	1.19906407836045	0.079644418561119	0.135610754640239	0.118971964545902	0.199143600635204	0.0975594014905733	0.0573134935273226	0.0601320356348097	0.039979140385742	0.0227111814424551	0.0398135517741652	0.0456971725627611	0.0275491039733424	0.0117223427263785	0.00545000709865908	0.0124491402317191	0.0163971166678677	0.0251114287795786	0.0168734044497427	0.00560079210362166	0.0147717552670892	0.00675981729494567	0.0175294054628313	0.0114491805614488	0.00897391085712361	0.00309076354268313	0.00297175013179835	0.00395731549744312	0.00371505732036982	0	0.00458450060484666	0.0368554833305194	0.0171854879356949	0.0133769660787171	0.00808613328878083	0.0394346932514347	0.00312564612357988	0.0115886104043234	0.0085673861693305	0.00509907655018988	0.00326425457117566	0.00532115246392267	0.0048922819346834	0.00576958372456381	0.00938673049714273	0.00565514793881209	0.0287037829377427	0.00773150687217766	0	0
17. Computer, electronic and optical products	0.00258718552616143	0.000999255715086828	0.00610036703314783	0.00590164640775373	0.00426642981323486	0.00308639788635342	0.0041262050160429	0.00406895135528021	0.020473603991405	0.00610750382301521	0.00538364889213886	0.0117350606052326	0.00430239295616855	0.00498734052717602	0.00518939307691434	0.0063106377653771	1.23318411354641	0.032315358148024	0.0178648127903831	0.0521588773186738	0.014585364770346	0.013189838585016	0.010429947891212	0.00894422614325537	0.00797777503512173	0.00634773876780259	0.00704337683728298	0.00913547616237432	0.00731771693147188	0.0049332109352898	0.00503305986228163	0.00765448251704385	0.00971698949194943	0.00421705713574719	0.0056375629369522	0.00883989725690525	0.00816416638489887	0.147722226663622	0.0441286022297789	0.0412857996998036	0.00394933215820554	0.00348083362713334	0.00493046607222932	0.00228102711551009	0	0.00413827140300896	0.037333779919834	0.0107559828651331	0.0236587145572168	0.0085218004390613	0.00766665129948474	0.00122101832285415	0.00863145262927512	0.0116113941975349	0.00434101281860605	0.0026718689443545	0.00508887076258377	0.00636541205121301	0.00553794615549768	0.0055124813199499	0.00822276108208866	0.0612560285708238	0.00506469329461475	0	0
18. Electrical equipment	0.00467675660082155	0.00149198317051037	0.0095248691521763	0.0116098497369192	0.00559135533202437	0.00384160494877406	0.00748362750160956	0.00750290482779789	0.00925919952116254	0.0129098456428459	0.00727392547868314	0.0062725761547898	0.00637331733532904	0.0124151668283657	0.0142660536648873	0.0109722246464272	0.112013726571269	1.1552674018249	0.0771880214641319	0.0545504572317423	0.0691595336691783	0.0115873880697596	0.0450324703939471	0.02682365659507	0.0216318855365806	0.0106743557572831	0.0492661034691274	0.0118359564809262	0.00764442365496776	0.00398305620974793	0.00749947626917422	0.00906270691150156	0.0153439055118426	0.00737099757441161	0.00495365393064226	0.00951022524045339	0.00511994289938768	0.0184952057541855	0.0206264518541821	0.0124619042810794	0.00315458310016646	0.00291967458587318	0.00390835899737831	0.00375810226939725	0	0.00492416413264	0.042922885501233	0.0106139726988579	0.0108227497472937	0.00463462912710929	0.00573294923345508	0.00140483834634011	0.00774630028146541	0.00833118713278592	0.00432564109327565	0.00238026007432607	0.00257409183937683	0.0035748219591671	0.0057766373849316	0.00548936770325169	0.00513543964023571	0.0181849512671029	0.00560322491193491	0	0
19. Machinery and equipment n.e.c.	0.0086016022218886	0.00244417924594934	0.0170468631878605	0.0431768003851295	0.0101485398489753	0.00597944247284007	0.0247617749514321	0.0199409818795357	0.0338674047458484	0.0658650554742787	0.0152203777882222	0.0265765737802472	0.0160115325145039	0.0220408524108906	0.0243248329550266	0.0175324051228687	0.0235151521562249	0.0224482802688555	1.15786960524749	0.0468133192233394	0.0419057739172735	0.0135963739897032	0.0394005044193165	0.0466242950388093	0.0341809223995953	0.0141299771315916	0.015889127463371	0.0167457588066038	0.0112780026482821	0.00454330108916162	0.0126914964779304	0.0152958271918464	0.0256702341873235	0.0250506567287714	0.0049117118616458	0.0140860171428557	0.00753968494524306	0.00863323757077513	0.0175583401153576	0.00829430153961621	0.00228245523707733	0.00240727064190986	0.00322462155608974	0.00327670342552697	0	0.00618479897326272	0.0715053293974427	0.0101269880130403	0.00864790371494079	0.00484964887842901	0.00806169248218809	0.00180478506924336	0.0107181247413529	0.00548823529357583	0.00561422840393542	0.00226571838739619	0.00429619638624777	0.00414593348625381	0.00497459093804926	0.00636599284728614	0.00475840717371245	0.0133959296382183	0.00540412611080186	0	0
20. Motor vehicles, trailers and semi-trailers	0.00458619060235077	0.00442127316926863	0.0118582330979747	0.00737367336196257	0.00443924743096889	0.0028454856275038	0.00828733380988658	0.00477648005819896	0.00472560714612237	0.00701483480956204	0.00483671105273053	0.00365673657525843	0.0160380649475374	0.00897507798679674	0.00912018883260934	0.012611194552726	0.0101928721122073	0.0551156438565514	0.0198714769498315	1.44102606552808	0.128781740067465	0.00564890548774824	0.0165142192232353	0.00506419580825344	0.00552312489352972	0.0178396411514414	0.00609257068672291	0.130242418653892	0.00565519052731021	0.00239138569980196	0.0192696741834792	0.00560883980415279	0.0118542402763354	0.00650610137081224	0.00546998458574864	0.00349137690753328	0.00388562627550265	0.00419510577088572	0.00385703575076823	0.0044515773331352	0.00142596641118415	0.00155311645938401	0.0025547653081602	0.00155548367454432	0	0.00223874783215544	0.0164512392942344	0.0140654860834783	0.00406577807113198	0.0306340297412486	0.0189510318971241	0.000676616122856475	0.00452684351513197	0.00856007304463293	0.00234712880043916	0.00145943058978238	0.00144328846470984	0.00152894153551531	0.00341599550901717	0.00786328492088465	0.00229704749339331	0.00459601025297071	0.00216272397374214	0	0
