Branch of activity (CNAE 2009);Polluting substances;period;Total
10-12: Manufacture of food products, beverages and tobacco products;NH3 - Ammonia (tonnes);2019;0.0
10-12: Manufacture of food products, beverages and tobacco products;CO - Carbon monoxide (tonnes);2019;194,462.0
10-12: Manufacture of food products, beverages and tobacco products;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;69,073.3
13-15: Manufacture of textiles, wearing apparel and leather and related products.;CO2 - Carbon dioxide (thousands tonnes);2019;263,535.3
13-15: Manufacture of textiles, wearing apparel and leather and related products.;CH4 - Methane (tonnes);2019;947,669.1
13-15: Manufacture of textiles, wearing apparel and leather and related products.;N2O - Nitrous oxide (tonnes);2019;109.5
13-15: Manufacture of textiles, wearing apparel and leather and related products.;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;179.2
13-15: Manufacture of textiles, wearing apparel and leather and related products.;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;4,076.7
13-15: Manufacture of textiles, wearing apparel and leather and related products.;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;27,625.3
13-15: Manufacture of textiles, wearing apparel and leather and related products.;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;563.6
13-15: Manufacture of textiles, wearing apparel and leather and related products.;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;1,550.6
13-15: Manufacture of textiles, wearing apparel and leather and related products.;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;8,915.0
13-15: Manufacture of textiles, wearing apparel and leather and related products.;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;192.4
13-15: Manufacture of textiles, wearing apparel and leather and related products.;NH3 - Ammonia (tonnes);2019;7,047.9
13-15: Manufacture of textiles, wearing apparel and leather and related products.;CO - Carbon monoxide (tonnes);2019;29,996.0
13-15: Manufacture of textiles, wearing apparel and leather and related products.;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;10,733.4
16: Manufacture of wood and of products of wood and cork;CO2 - Carbon dioxide (thousands tonnes);2019;465.1
16: Manufacture of wood and of products of wood and cork;CH4 - Methane (tonnes);2019;2,085.1
16: Manufacture of wood and of products of wood and cork;N2O - Nitrous oxide (tonnes);2019;1,965.1
16: Manufacture of wood and of products of wood and cork;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;137.3
16: Manufacture of wood and of products of wood and cork;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;32.3
16: Manufacture of wood and of products of wood and cork;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;224.9
16: Manufacture of wood and of products of wood and cork;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;285.7
16: Manufacture of wood and of products of wood and cork;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;693.5
16: Manufacture of wood and of products of wood and cork;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;211.5
16: Manufacture of wood and of products of wood and cork;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;92.6
16: Manufacture of wood and of products of wood and cork;NH3 - Ammonia (tonnes);2019;193.5
16: Manufacture of wood and of products of wood and cork;CO - Carbon monoxide (tonnes);2019;9,928.3
16: Manufacture of wood and of products of wood and cork;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;26.8
17: Manufacture of paper and paper products;CO2 - Carbon dioxide (thousands tonnes);2019;419,260.9
17: Manufacture of paper and paper products;CH4 - Methane (tonnes);2019;3,452.0
17: Manufacture of paper and paper products;N2O - Nitrous oxide (tonnes);2019;197.6
17: Manufacture of paper and paper products;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;446.9
17: Manufacture of paper and paper products;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;314.1
17: Manufacture of paper and paper products;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;942.1
17: Manufacture of paper and paper products;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;305.8
17: Manufacture of paper and paper products;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;124.4
17: Manufacture of paper and paper products;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;125.2
17: Manufacture of paper and paper products;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;18.1
17: Manufacture of paper and paper products;NH3 - Ammonia (tonnes);2019;1,915.4
17: Manufacture of paper and paper products;CO - Carbon monoxide (tonnes);2019;100.3
17: Manufacture of paper and paper products;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;37.7
18: Printing and reproduction of recorded media;CO2 - Carbon dioxide (thousands tonnes);2019;84.5
18: Printing and reproduction of recorded media;CH4 - Methane (tonnes);2019;25.9
18: Printing and reproduction of recorded media;N2O - Nitrous oxide (tonnes);2019;62.1
18: Printing and reproduction of recorded media;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;32.0
18: Printing and reproduction of recorded media;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;15.3
18: Printing and reproduction of recorded media;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;235.3
18: Printing and reproduction of recorded media;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;93.9
18: Printing and reproduction of recorded media;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;59.6
18: Printing and reproduction of recorded media;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;27.6
18: Printing and reproduction of recorded media;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;19.7
18: Printing and reproduction of recorded media;NH3 - Ammonia (tonnes);2019;17.4
18: Printing and reproduction of recorded media;CO - Carbon monoxide (tonnes);2019;64.6
18: Printing and reproduction of recorded media;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;7.8
19: Manufacture of coke and refined petroleum products;CO2 - Carbon dioxide (thousands tonnes);2019;11.8
19: Manufacture of coke and refined petroleum products;CH4 - Methane (tonnes);2019;134.7
19: Manufacture of coke and refined petroleum products;N2O - Nitrous oxide (tonnes);2019;623.9
19: Manufacture of coke and refined petroleum products;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;224.5
19: Manufacture of coke and refined petroleum products;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;222.4
19: Manufacture of coke and refined petroleum products;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;115.0
19: Manufacture of coke and refined petroleum products;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;58.4
19: Manufacture of coke and refined petroleum products;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;168.8
19: Manufacture of coke and refined petroleum products;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;61.7
19: Manufacture of coke and refined petroleum products;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;8.0
19: Manufacture of coke and refined petroleum products;NH3 - Ammonia (tonnes);2019;147.4
19: Manufacture of coke and refined petroleum products;CO - Carbon monoxide (tonnes);2019;0.0
19: Manufacture of coke and refined petroleum products;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;1,484,763.4
20: Manufacture of chemicals and chemical products;CO2 - Carbon dioxide (thousands tonnes);2019;28,485.3
20: Manufacture of chemicals and chemical products;CH4 - Methane (tonnes);2019;1,513,248.7
20: Manufacture of chemicals and chemical products;N2O - Nitrous oxide (tonnes);2019;45,391.1
20: Manufacture of chemicals and chemical products;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;4.0
20: Manufacture of chemicals and chemical products;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;42.2
20: Manufacture of chemicals and chemical products;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;50.3
20: Manufacture of chemicals and chemical products;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;108.1
20: Manufacture of chemicals and chemical products;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;12.9
20: Manufacture of chemicals and chemical products;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;30.3
20: Manufacture of chemicals and chemical products;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;78.7
20: Manufacture of chemicals and chemical products;NH3 - Ammonia (tonnes);2019;4.3
20: Manufacture of chemicals and chemical products;CO - Carbon monoxide (tonnes);2019;37.3
20: Manufacture of chemicals and chemical products;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;1,440.3
21: Manufacture of basic pharmaceutical products and pharmaceutical preparations;CO2 - Carbon dioxide (thousands tonnes);2019;5.4
21: Manufacture of basic pharmaceutical products and pharmaceutical preparations;CH4 - Methane (tonnes);2019;10.9
21: Manufacture of basic pharmaceutical products and pharmaceutical preparations;N2O - Nitrous oxide (tonnes);2019;236.5
21: Manufacture of basic pharmaceutical products and pharmaceutical preparations;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;47.5
21: Manufacture of basic pharmaceutical products and pharmaceutical preparations;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;7.6
21: Manufacture of basic pharmaceutical products and pharmaceutical preparations;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;0.8
21: Manufacture of basic pharmaceutical products and pharmaceutical preparations;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;5.3
21: Manufacture of basic pharmaceutical products and pharmaceutical preparations;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;7.9
21: Manufacture of basic pharmaceutical products and pharmaceutical preparations;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;13.5
21: Manufacture of basic pharmaceutical products and pharmaceutical preparations;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;5.0
21: Manufacture of basic pharmaceutical products and pharmaceutical preparations;NH3 - Ammonia (tonnes);2019;2.4
21: Manufacture of basic pharmaceutical products and pharmaceutical preparations;CO - Carbon monoxide (tonnes);2019;4.1
21: Manufacture of basic pharmaceutical products and pharmaceutical preparations;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;1,430.9
22: Manufacture of rubber and plastic products;CO2 - Carbon dioxide (thousands tonnes);2019;0.9
22: Manufacture of rubber and plastic products;CH4 - Methane (tonnes);2019;3,592.0
22: Manufacture of rubber and plastic products;N2O - Nitrous oxide (tonnes);2019;81.2
22: Manufacture of rubber and plastic products;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;1.8
22: Manufacture of rubber and plastic products;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;7.2
22: Manufacture of rubber and plastic products;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;3.7
22: Manufacture of rubber and plastic products;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;994.8
22: Manufacture of rubber and plastic products;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;87.4
22: Manufacture of rubber and plastic products;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;392.1
22: Manufacture of rubber and plastic products;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;22.3
22: Manufacture of rubber and plastic products;NH3 - Ammonia (tonnes);2019;0.3
22: Manufacture of rubber and plastic products;CO - Carbon monoxide (tonnes);2019;15.3
22: Manufacture of rubber and plastic products;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;0.2
23: Manufacture of other non-metallic mineral products;CO2 - Carbon dioxide (thousands tonnes);2019;0.4
23: Manufacture of other non-metallic mineral products;CH4 - Methane (tonnes);2019;0.6
23: Manufacture of other non-metallic mineral products;N2O - Nitrous oxide (tonnes);2019;0.4
23: Manufacture of other non-metallic mineral products;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.7
23: Manufacture of other non-metallic mineral products;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.4
23: Manufacture of other non-metallic mineral products;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;0.3
23: Manufacture of other non-metallic mineral products;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;2.5
23: Manufacture of other non-metallic mineral products;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;1.3
23: Manufacture of other non-metallic mineral products;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;0.6
23: Manufacture of other non-metallic mineral products;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;0.4
23: Manufacture of other non-metallic mineral products;NH3 - Ammonia (tonnes);2019;0.2
23: Manufacture of other non-metallic mineral products;CO - Carbon monoxide (tonnes);2019;0.2
23: Manufacture of other non-metallic mineral products;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;0.7
24: Manufacture of basic metal;CO2 - Carbon dioxide (thousands tonnes);2019;0.1
24: Manufacture of basic metal;CH4 - Methane (tonnes);2019;0.2
24: Manufacture of basic metal;N2O - Nitrous oxide (tonnes);2019;1.5
24: Manufacture of basic metal;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;102.2
24: Manufacture of basic metal;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;8.2
24: Manufacture of basic metal;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;1,919.4
24: Manufacture of basic metal;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;1.3
24: Manufacture of basic metal;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;0.5
24: Manufacture of basic metal;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;1.8
24: Manufacture of basic metal;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;31.2
24: Manufacture of basic metal;NH3 - Ammonia (tonnes);2019;0.1
24: Manufacture of basic metal;CO - Carbon monoxide (tonnes);2019;1.9
24: Manufacture of basic metal;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;0.0
25: Manufacture of fabricated metal products, except machinery and equipment;CO2 - Carbon dioxide (thousands tonnes);2019;56,253.9
25: Manufacture of fabricated metal products, except machinery and equipment;CH4 - Methane (tonnes);2019;2,305.4
25: Manufacture of fabricated metal products, except machinery and equipment;N2O - Nitrous oxide (tonnes);2019;58,559.2
25: Manufacture of fabricated metal products, except machinery and equipment;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.1
25: Manufacture of fabricated metal products, except machinery and equipment;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.0
25: Manufacture of fabricated metal products, except machinery and equipment;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;0.0
25: Manufacture of fabricated metal products, except machinery and equipment;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;0.0
25: Manufacture of fabricated metal products, except machinery and equipment;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;0.8
25: Manufacture of fabricated metal products, except machinery and equipment;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;0.2
25: Manufacture of fabricated metal products, except machinery and equipment;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;0.1
25: Manufacture of fabricated metal products, except machinery and equipment;NH3 - Ammonia (tonnes);2019;0.4
25: Manufacture of fabricated metal products, except machinery and equipment;CO - Carbon monoxide (tonnes);2019;0.1
25: Manufacture of fabricated metal products, except machinery and equipment;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;0.3
26: Manufacture of computer, electronic and optical products;CO2 - Carbon dioxide (thousands tonnes);2019;0.6
26: Manufacture of computer, electronic and optical products;CH4 - Methane (tonnes);2019;0.1
26: Manufacture of computer, electronic and optical products;N2O - Nitrous oxide (tonnes);2019;0.3
26: Manufacture of computer, electronic and optical products;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.5
26: Manufacture of computer, electronic and optical products;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;42.4
26: Manufacture of computer, electronic and optical products;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;0.2
26: Manufacture of computer, electronic and optical products;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;0.0
26: Manufacture of computer, electronic and optical products;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;0.1
26: Manufacture of computer, electronic and optical products;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;0.1
26: Manufacture of computer, electronic and optical products;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;0.3
26: Manufacture of computer, electronic and optical products;NH3 - Ammonia (tonnes);2019;0.1
26: Manufacture of computer, electronic and optical products;CO - Carbon monoxide (tonnes);2019;0.0
26: Manufacture of computer, electronic and optical products;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;0.0
27: Manufacture of electrical equipment;CO2 - Carbon dioxide (thousands tonnes);2019;0.2
27: Manufacture of electrical equipment;CH4 - Methane (tonnes);2019;0.0
27: Manufacture of electrical equipment;N2O - Nitrous oxide (tonnes);2019;0.0
27: Manufacture of electrical equipment;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.0
27: Manufacture of electrical equipment;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.2
27: Manufacture of electrical equipment;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;0.8
27: Manufacture of electrical equipment;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;1.7
27: Manufacture of electrical equipment;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;0.4
27: Manufacture of electrical equipment;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;0.0
27: Manufacture of electrical equipment;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;0.0
27: Manufacture of electrical equipment;NH3 - Ammonia (tonnes);2019;0.0
27: Manufacture of electrical equipment;CO - Carbon monoxide (tonnes);2019;0.0
27: Manufacture of electrical equipment;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;0.1
28: Manufacture of machinery and equipment n.e.c;CO2 - Carbon dioxide (thousands tonnes);2019;0.0
28: Manufacture of machinery and equipment n.e.c;CH4 - Methane (tonnes);2019;0.0
28: Manufacture of machinery and equipment n.e.c;N2O - Nitrous oxide (tonnes);2019;0.0
28: Manufacture of machinery and equipment n.e.c;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.0
28: Manufacture of machinery and equipment n.e.c;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.0
28: Manufacture of machinery and equipment n.e.c;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;0.0
28: Manufacture of machinery and equipment n.e.c;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;0.0
28: Manufacture of machinery and equipment n.e.c;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;0.0
28: Manufacture of machinery and equipment n.e.c;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;0.0
28: Manufacture of machinery and equipment n.e.c;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;0.0
28: Manufacture of machinery and equipment n.e.c;NH3 - Ammonia (tonnes);2019;0.0
28: Manufacture of machinery and equipment n.e.c;CO - Carbon monoxide (tonnes);2019;0.0
28: Manufacture of machinery and equipment n.e.c;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;0.0
29: Manufacture of motor vehicles, trailers and semi-trailers;CO2 - Carbon dioxide (thousands tonnes);2019;0.0
29: Manufacture of motor vehicles, trailers and semi-trailers;CH4 - Methane (tonnes);2019;0.0
29: Manufacture of motor vehicles, trailers and semi-trailers;N2O - Nitrous oxide (tonnes);2019;0.0
29: Manufacture of motor vehicles, trailers and semi-trailers;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.0
29: Manufacture of motor vehicles, trailers and semi-trailers;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;0.1
29: Manufacture of motor vehicles, trailers and semi-trailers;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;0.0
29: Manufacture of motor vehicles, trailers and semi-trailers;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;0.0
29: Manufacture of motor vehicles, trailers and semi-trailers;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;0.0
29: Manufacture of motor vehicles, trailers and semi-trailers;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;0.0
29: Manufacture of motor vehicles, trailers and semi-trailers;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;0.0
29: Manufacture of motor vehicles, trailers and semi-trailers;NH3 - Ammonia (tonnes);2019;0.0
29: Manufacture of motor vehicles, trailers and semi-trailers;CO - Carbon monoxide (tonnes);2019;0.0
29: Manufacture of motor vehicles, trailers and semi-trailers;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;0.0
30: Manufacture of other transport equipment;CO2 - Carbon dioxide (thousands tonnes);2019;0.0
30: Manufacture of other transport equipment;CH4 - Methane (tonnes);2019;50.5
30: Manufacture of other transport equipment;N2O - Nitrous oxide (tonnes);2019;2.4
30: Manufacture of other transport equipment;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;52.9
30: Manufacture of other transport equipment;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;23.9
30: Manufacture of other transport equipment;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;0.7
30: Manufacture of other transport equipment;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;9.2
30: Manufacture of other transport equipment;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;10.8
30: Manufacture of other transport equipment;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;370.3
30: Manufacture of other transport equipment;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;72.2
30: Manufacture of other transport equipment;NH3 - Ammonia (tonnes);2019;50.8
